language,rank,repo,skill_count,stars,forks,commits,contributors
C#,76,AIDotNet/OpenDeepWiki,1,2834,370,,
C#,77,MDA2AV/Http11Probe,1,10,5,,
C#,78,MarsonShine/Books,1,49,10,,
C#,79,PowerShell/PowerShell,1,51651,8187,,
C#,80,ProjectMagma/Magma,1,110,1,,
C#,81,Redth/AndroidSdk.Tools,1,74,17,,
C#,82,Redth/Maui.Gtk,1,19,1,,
C#,83,Redth/MauiDevFlow,1,23,4,,
C#,84,ShapeCrawler/ShapeCrawler,1,409,77,,
C#,85,TomLeeLive/openclaw-unity-plugin,1,21,2,,
C#,86,ZenoxZX/trello-cli,1,15,2,,
C#,87,altasoft/DomainPrimitives,1,60,2,,
C#,88,craigktreasure/SlnUp,1,12,0,,
C#,89,dotnet/aspnetcore,1,37744,10591,,
C#,90,dotnet/dev-proxy,1,777,80,,
C#,91,dotnet/extensions,1,3120,854,,
C#,92,dotnet/nuget-trends,1,179,41,,
C#,93,dotnet/razor,1,708,236,,
C#,94,elastic/docs-builder,1,16,34,,
C#,95,justeattakeaway/JustSaying,1,55,23,,
C#,96,lionfire/Trading,1,19,6,,
C#,97,liyingsong99/AIBridge,1,42,3,,
C#,98,microsoft/PowerToys,1,130079,7728,,
C#,99,microsoft/playwright-dotnet,1,2892,297,,
C#,100,mizrael/OpenSleigh,1,335,41,,
C++,1,Noizefield/audio-plugin-coder,28,194,24,,
C++,2,cloudflare/workerd,20,7545,540,,
C++,3,rvdbreemen/OTGW-firmware,18,171,39,,
C++,4,AztecProtocol/aztec-packages,15,424,590,,
C++,5,dartsim/dart,12,1058,296,,
C++,6,ClickHouse/ClickHouse,6,46049,8115,,
C++,7,j-r-beckett/SpeedReader,6,11,1,,
C++,8,zilliztech/knowhere,5,322,128,,
C++,9,hzqst/metamod-fallguys,4,16,5,,
C++,10,ossrs/srs,4,28552,5650,,
C++,11,chromium/chromium,3,23024,8605,,
C++,12,intel/confidential-computing-zoo,3,350,66,,
C++,13,laoshanxi/app-mesh,3,211,28,,
C++,14,microsoft/WindowsAppSDK,3,4434,417,,
C++,15,nwjs/chromium.src,3,159,128,,
C++,16,vllm-project/vllm-ascend,3,1692,846,,
C++,17,grafana/pyroscope-dotnet,2,35,10,,
C++,18,ispc/ispc,2,2844,344,,
C++,19,vanillapdf/vanillapdf,2,12,1,,
C++,20,Apra-Labs/ApraPipes,1,33,36,,
C++,21,Mq-b/Lab2QRCode,1,15,10,,
C++,22,andrewjiang/HoloClawd-Open-Firmware,1,15,2,,
C++,23,apache/tvm-ffi,1,350,62,,
C++,24,chdb-io/chdb,1,2618,102,,
C++,25,crazyguitar/cppcheatsheet,1,258,48,,
C++,26,ecubus/EcuBus-Pro,1,721,197,,
C++,27,electron/electron,1,120218,17008,,
C++,28,ezEngine/ezEngine,1,1901,236,,
C++,29,invergent-ai/surogate,1,105,2,,
C++,30,kvcache-ai/Mooncake,1,4808,567,,
C++,31,mcpp-community/mcpp-style-ref,1,28,0,,
C++,32,ml-explore/mlx-swift,1,1596,156,,
C++,33,openharmony/graphic_graphic_2d,1,11,5,,
C++,34,tenstorrent/tt-llk,1,34,26,,
C++,35,tenzir/tenzir,1,723,103,,
Go,1,LerianStudio/ring,111,113,12,,
Go,2,moasq/nanowave,104,27,5,,
Go,3,liteclaw/liteclaw,53,37,8,,
Go,4,go-mizu/mizu,52,44,2,,
Go,5,diillson/chatcli,47,62,20,,
Go,6,castle-x/skills-x,45,17,1,,
Go,7,liwoo/goravel-inertia-tw-starter,41,10,8,,
Go,8,smallnest/langgraphgo,40,198,30,,
Go,9,drn/dots,39,22,4,,
Go,10,linanwx/nagobot,38,31,4,,
Go,11,smallnest/goskills,37,158,24,,
Go,12,DotNetAge/mindx,35,15,5,,
Go,13,microbus-io/fabric,29,170,5,,
Go,14,sunholo-data/ailang,27,20,2,,
Go,15,vfarcic/dot-ai-controller,27,42,5,,
Go,16,hiromaily/go-crypto-wallet,25,124,35,,
Go,17,mintuz/claude-plugins,25,14,4,,
Go,18,fall-out-bug/sdp,24,16,0,,
Go,19,github/gh-aw,24,3613,252,,
Go,20,smallnest/goclaw,23,235,35,,
Go,21,eat-pray-ai/yutu,22,383,38,,
Go,22,thc1006/nephoran-intent-operator,22,14,2,,
Go,23,jaxxstorm/sentinel,20,32,2,,
Go,24,jaxxstorm/tscli,20,61,8,,
Go,25,pilinux/gorest,20,487,63,,
Go,26,liza-mas/liza,19,61,17,,
Go,27,yaleh/meta-cc,18,16,1,,
Go,28,jordanhubbard/loom,17,84,9,,
Go,29,marcus/sidecar,17,799,59,,
Go,30,prime-radiant-inc/serf,17,11,0,,
Go,31,UnicomAI/wanwu,16,4105,72,,
Go,32,aiyuekuang/LLMProxy,16,10,2,,
Go,33,kaptinlin/gozod,15,18,1,,
Go,34,kalbasit/ncps,14,271,11,,
Go,35,roborev-dev/roborev,14,605,55,,
Go,36,joa23/linear-cli,13,82,9,,
Go,37,Gentleman-Programming/engram,12,469,40,,
Go,38,devantler-tech/ksail,11,133,5,,
Go,39,eser/aya.is,11,54,23,,
Go,40,openshift/hypershift,11,511,446,,
Go,41,Goldziher/ai-rulez,10,89,7,,
Go,42,goern/forgejo-mcp,10,30,7,,
Go,43,martinemde/skillet,10,16,1,,
Go,44,oodaris/autocodex,10,11,0,,
Go,45,weibaohui/kom,10,146,33,,
Go,46,luthersystems/elps,9,36,9,,
Go,47,GoBetterAuth/go-better-auth,8,129,17,,
Go,48,dacharyc/skill-validator,8,24,3,,
Go,49,stacklok/toolhive,8,1617,179,,
Go,50,willvelida/code-minions,8,22,2,,
Go,51,chmouel/lazyworktree,7,129,6,,
Go,52,danshapiro/kilroy,7,115,24,,
Go,53,holon-run/holon,7,76,6,,
Go,54,rubiojr/rugo,7,22,1,,
Go,55,runkids/skillshare,7,609,37,,
Go,56,wavetermdev/waveterm,7,17509,783,,
Go,57,yaacov/kubectl-mtv,7,11,1,,
Go,58,Dowwie/tasker,6,15,1,,
Go,59,TsingmaoAI/xw-cli,6,290,30,,
Go,60,alibaba/higress,6,7572,994,,
Go,61,clidey/whodb,6,4646,172,,
Go,62,jclark/satpulse,6,33,2,,
Go,63,mosaxiv/clawlet,6,693,35,,
Go,64,ubie-oss/terraform-provider-lightdash,6,17,4,,
Go,65,yxhpy/qcc_plus,6,39,13,,
Go,66,GoogleCloudPlatform/gke-mcp,5,125,51,,
Go,67,chainloop-dev/chainloop,5,526,47,,
Go,68,chrisbanes/grove,5,17,0,,
Go,69,ezbuy/ezorm,5,50,21,,
Go,70,k-orc/openstack-resource-controller,5,68,35,,
Go,71,maximhq/bifrost,5,2548,264,,
Go,72,openshift-online/maestro,5,17,34,,
Go,73,pgplex/pgschema,5,798,30,,
Go,74,rilldata/rill,5,2504,164,,
Go,75,DataDog/datadog-agent,4,3527,1377,,
Go,76,asteroid-belt/skulto,4,22,0,,
Go,77,axiomhq/cli,4,54,12,,
