rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors
176,tkersey/dotfiles,38,Python,42,1,,
177,Finesssee/linear-cli,38,Rust,31,8,,
178,nclamvn/openclawvn,37,TypeScript,53,24,,
179,jpoley/flowspec,37,Python,12,1,,
180,markuplint/markuplint,37,TypeScript,597,64,,
181,mikeyobrien/rho,37,TypeScript,293,22,,
182,Yeachan-Heo/oh-my-claudecode,37,TypeScript,7360,512,,
183,ruvnet/ruvector,37,Rust,1007,144,,
184,excatt/superclaude-plusplus,37,Python,10,0,,
185,smallnest/goskills,37,Go,158,24,,
186,flora131/atomic,36,TypeScript,89,25,,
187,pbakaus/impeccable,36,JavaScript,217,14,,
188,j5ik2o/okite-ai,36,Python,38,2,,
189,baotoq/micro-commerce,36,C#,92,25,,
190,Kastalien-Research/thoughtbox,35,TypeScript,46,10,,
191,transilienceai/communitytools,35,Python,41,5,,
192,SteadfastAsArt/geoscience-skills,35,Python,12,1,,
193,DotNetAge/mindx,35,Go,15,5,,
194,hatayama/uLoopMCP,35,C#,164,16,,
195,kivo360/OmoiOS,35,Python,26,1,,
196,lhl/realitycheck,35,Python,10,0,,
197,rohitg00/awesome-claude-code-toolkit,35,JavaScript,575,84,,
198,jezweb/claude-skills,34,Python,538,40,,
199,lintendo/Axhub-Make,34,JavaScript,20,6,,
200,kasperjunge/agent-resources,34,Python,403,30,,
201,sendaifun/skills,34,TypeScript,52,19,,
202,basher83/lunar-claude,34,Python,13,1,,
203,shoootyou/get-shit-done-multi,34,JavaScript,12,1,,
204,prowler-cloud/prowler,34,Python,13099,2011,,
205,sfc-gh-dflippo/snowflake-dbt-demo,34,Python,28,8,,
206,MooseGoose0701/skill-compose,34,Python,1001,89,,
207,gannonh/kata-orchestrator,33,TypeScript,88,3,,
208,BankrBot/claude-plugins,33,JavaScript,67,19,,
209,lossyrob/phased-agent-workflow,33,TypeScript,21,5,,
210,rivet-dev/rivet,33,Rust,5031,154,,
211,yazelin/ching-tech-os,32,Python,19,7,,
212,aitytech/agentkits-marketing,32,Python,310,33,,
213,coreyhaines31/marketingskills,32,JavaScript,9306,1260,,
214,taurgis/sfcc-dev-mcp,32,TypeScript,21,7,,
215,happycapy-ai/Happycapy-skills,32,Python,40,3,,
216,greyhaven-ai/claude-code-config,32,Python,19,2,,
217,hamr0/agentic-toolkit,32,Python,12,2,,
218,huangrt01/CS-Notes,31,Python,3944,484,,
219,boshi-xixixi/TraeSkill,31,Python,66,17,,
220,RtlZeroMemory/Zireael,31,C,30,2,,
221,ruvnet/ruv-FANN,30,Rust,313,90,,
222,fcakyon/claude-codex-settings,30,Python,439,41,,
223,howells/arc,30,TypeScript,10,0,,
224,jd-opensource/JoySafeter,30,Python,136,22,,
225,vstorm-co/pydantic-deepagents,30,Python,347,36,,
226,vfarcic/dot-ai,30,TypeScript,293,57,,
227,ParadeTo/vue-tree-list,30,TypeScript,686,126,,
228,Abilityai/cornelius,30,Python,64,18,,
229,tryportal/portal,30,TypeScript,18,3,,
230,maxvaega/skillkit,30,Python,127,18,,
231,definableai/definable.ai,30,Python,12,2,,
232,Geeksfino/finskills,30,Python,20,5,,
233,2025Emma/vibe-coding-cn,30,Python,12670,1407,,
234,agent-sh/agentsys,30,JavaScript,484,46,,
235,kv0906/pm-kit,29,Python,45,11,,
236,microbus-io/fabric,29,Go,170,5,,
237,cin12211/orca-q,29,TypeScript,60,0,,
238,ahmed3elshaer/everything-claude-code-mobile,29,JavaScript,27,1,,
239,dylantarre/design-system-skills,29,TypeScript,14,2,,
240,ruvnet/marketing,29,TypeScript,31,11,,
241,sammcj/agentic-coding,29,Python,95,16,,
242,dotnet/dotnet,29,C#,973,251,,
243,aalmada/BookStore,29,C#,15,0,,
244,kevintsengtw/dotnet-testing-agent-skills,29,C#,16,2,,
245,oocx/tfplan2md,29,C#,127,7,,
246,popup-studio-ai/bkit-gemini,29,JavaScript,30,8,,
247,0xBigBoss/claude-code,28,TypeScript,35,3,,
248,shinpr/ai-coding-project-boilerplate,28,JavaScript,173,17,,
249,popup-studio-ai/bkit-claude-code,28,JavaScript,301,78,,
250,wordflowlab/novelweave,28,TypeScript,51,14,,
251,Noizefield/audio-plugin-coder,28,C++,194,24,,
252,srbhr/Resume-Matcher,28,TypeScript,26036,4702,,
253,Uniswap/ai-toolkit,28,TypeScript,30,5,,
254,agenticsorg/hackathon-tv5,28,TypeScript,22,41,,
255,WellApp-ai/Well,28,TypeScript,309,44,,
256,yezannnnn/agentGroup,27,Python,31,3,,
257,sunholo-data/ailang,27,Go,20,2,,
258,darraghh1/my-claude-setup,27,Python,28,4,,
259,deepeshBodh/human-in-loop,27,Python,21,1,,
260,dsifry/goodtogo,27,Python,43,2,,
261,exceptionless/Exceptionless,27,C#,2451,513,,
262,hhhh124hhhh/godot-mcp,27,TypeScript,19,2,,
263,vfarcic/dot-ai-controller,27,Go,42,5,,
264,growupanand/ConvoForm,27,TypeScript,101,32,,
265,emanueleielo/ciana-parrot,27,Python,58,9,,
266,rand/cc-polymath,26,Python,74,5,,
267,foxminchan/BookWorm,26,C#,475,62,,
268,rohitg00/kubectl-mcp-server,26,Python,837,167,,
269,Haaaiawd/Antigravity-Workflow-System,26,Python,82,11,,
270,ruvnet/midstream,26,Rust,61,20,,
271,sddevelopment-be/quickstart_agent-augmented-development,26,Python,13,3,,
272,ruvnet/agentic-robotics,26,TypeScript,14,3,,
273,sgcarstrends/sgcarstrends,26,TypeScript,19,1,,
274,vspo-lab/vspo-portal,26,TypeScript,21,4,,
275,oedokumaci/gale-shapley-algorithm,26,TypeScript,10,2,,
276,PackmindHub/packmind,26,TypeScript,214,7,,
277,manusco/resonance,26,Python,33,6,,
278,JetBrains/intellij-community,26,Java,19741,5690,,
279,saleor/configurator,26,TypeScript,26,3,,
280,mintuz/claude-plugins,25,Go,14,4,,
281,LowyShin/giip-dev-agent,25,JavaScript,25,3,,
282,PaulJPhilp/EffectPatterns,25,TypeScript,683,22,,
283,davidabeyer/formaltask,25,Python,13,1,,
284,CloudToLocalLLM-online/CloudToLocalLLM,25,JavaScript,18,3,,
285,laborany/laborany,25,TypeScript,40,1,,
286,hiromaily/go-crypto-wallet,25,Go,124,35,,
287,TheCraigHewitt/seomachine,25,Python,352,99,,
288,aehrc/pathling,25,Java,120,19,,
289,agenticsorg/lean-agentic,25,Rust,44,6,,
290,s-hiraoku/vscode-sidebar-terminal,25,TypeScript,12,6,,
291,different-ai/agent-bank,25,TypeScript,196,37,,
292,EveryInc/compound-engineering-plugin,25,TypeScript,9540,752,,
293,fellipeutaka/kanpeki,25,TypeScript,28,1,,
294,github/gh-aw,24,Go,3613,252,,
295,ZeroPointRepo/youtube-skills,24,JavaScript,61,6,,
296,kazukinagata/shinkoku,24,Python,170,10,,
297,hannesill/m4,24,Python,16,9,,
298,hexianWeb/Third-Person-MC,24,JavaScript,15,5,,
299,wasintoh/toh-framework,24,JavaScript,73,16,,
300,fall-out-bug/sdp,24,Go,16,0,,
301,dereekb/dbx-components,24,TypeScript,12,1,,
302,shining319/claude-code-single-person-workflow,24,Python,10,1,,
303,aws-samples/sample-strands-agent-with-agentcore,24,Python,103,38,,
304,VioletCranberry/coco-search,24,Python,12,0,,
305,ginlix-ai/LangAlpha,23,Python,14,3,,
306,harperaa/bastionclaw,23,TypeScript,12,1,,
307,jpmorgan-payments/embedded-finance,23,TypeScript,18,6,,
308,kill136/claude-code-open,23,TypeScript,129,50,,
309,hookdeck/webhook-skills,23,TypeScript,59,5,,
310,lvndry/jazz,23,TypeScript,36,5,,
311,nWave-ai/nWave,23,Python,172,18,,
312,gmickel/gmickel-claude-marketplace,23,Python,523,36,,
313,hoangsonww/PetSwipe-Match-App,23,TypeScript,18,10,,
314,getsentry/skills,23,Python,325,7,,
315,dagster-io/erk,23,Python,71,7,,
316,radioactive-labs/plutonium-core,23,JavaScript,56,7,,
317,smallnest/goclaw,23,Go,235,35,,
318,TheOrcDev/8bitcn-ui,23,TypeScript,1653,101,,
319,0xrdan/claude-router,22,Python,30,3,,
320,yi-john-huang/sdd-mcp,22,TypeScript,35,3,,
321,zerx-lab/rmx,22,Rust,28,0,,
322,mehdic/bazinga,22,Python,17,0,,
323,cnoe-io/ai-platform-engineering,22,Python,312,45,,
324,eat-pray-ai/yutu,22,Go,383,38,,
325,thedaviddias/skill-check,22,TypeScript,33,1,,
326,thc1006/nephoran-intent-operator,22,Go,14,2,,
327,espennilsen/pi,22,TypeScript,12,0,,
328,qwibitai/nanoclaw,22,TypeScript,14482,2203,,
329,timdeschryver/Sandbox,22,C#,47,16,,
330,tenequm/claude-plugins,22,Python,14,0,,
331,rfxlamia/claude-skillkit,21,Python,41,13,,
332,OpenDCAI/leonai,21,Python,21,1,,
333,AuroraWebSoftware/AAuth,21,PHP,41,7,,
334,rcarmo/piclaw,21,TypeScript,69,4,,
335,oyjt/uniapp-vue3-template,21,TypeScript,580,135,,
336,leeovery/claude-laravel,21,PHP,16,5,,
337,netease-youdao/LobsterAI,21,TypeScript,2439,266,,
338,okwinds/miscellany,21,Python,27,2,,
339,loonghao/vx,21,Rust,16,2,,
340,runtime-env/runtime-env,21,TypeScript,41,2,,
341,telagod/code-abyss,21,JavaScript,79,7,,
342,pilinux/gorest,20,Go,487,63,,
343,LIDR-academy/AI4Devs-LTI-extended,20,TypeScript,39,60,,
344,facebook/immersive-web-sdk,20,TypeScript,481,62,,
345,alibaba/druid,20,Java,28218,8612,,
346,astronomer/agents,20,Python,242,22,,
347,vultisig/vultisig-windows,20,TypeScript,13,13,,
348,huangwb8/ChineseResearchLaTeX,20,Python,819,106,,
349,jixoai/openspecui,20,TypeScript,31,6,,
350,jaxxstorm/tscli,20,Go,61,8,,
351,jaxxstorm/sentinel,20,Go,32,2,,
352,cloudflare/workerd,20,C++,7545,540,,
353,jabrena/cursor-rules-java,20,Java,295,55,,
354,getsentry/dotagents,20,TypeScript,67,3,,
355,EthanAlgoX/MarketBot,20,TypeScript,41,8,,
356,Creatiwity/siren,20,Rust,20,1,,
357,RtlZeroMemory/Rezi,20,TypeScript,459,10,,
358,shenjingnan/xiaozhi-client,20,TypeScript,259,69,,
359,JinFanZheng/kode-sdk-csharp,20,C#,55,16,,
360,snyk/agent-scan,20,Python,1581,157,,
361,JochenYang/Jochen-ai-rules,20,Python,12,2,,
362,tsedio/tsed-cli,20,TypeScript,43,24,,
363,osalvador/ReplicaDB,20,Java,478,111,,
364,quiqr/quiqr-desktop,20,TypeScript,169,10,,
365,sanjay3290/ai-skills,20,Python,100,7,,
366,Salesably/salesably-marketplace,19,Python,14,2,,
367,ArcaneOrion/Alice-Single,19,Python,12,2,,
368,posit-dev/skills,19,Python,123,4,,
369,uw-ssec/rse-plugins,19,Python,16,5,,
370,robertguss/claude-code-toolkit,19,Python,29,3,,
371,Jaganpro/sf-skills,19,Python,94,21,,
372,aexol-studio/axolotl,19,TypeScript,27,2,,
373,muratcankoylan/Agent-Skills-for-Context-Engineering,19,Python,10430,813,,
374,BA-CalderonMorales/terminal-jarvis,19,Rust,120,16,,
375,civitai/civitai,19,TypeScript,7019,708,,
376,lexler/skill-factory,19,Python,108,9,,
377,llama-farm/llamafarm,19,Python,816,47,,
378,aymenfurter/polyclaw,19,Python,32,3,,
379,backbay-labs/clawdstrike,19,Rust,177,17,,
380,mitsuhiko/agent-stuff,19,TypeScript,1337,89,,
381,bytedance/agentkit-samples,19,Python,215,41,,
382,marcioaltoe/claude-craftkit,19,TypeScript,11,0,,
383,xiaobei930/cc-best,19,JavaScript,25,0,,
384,liza-mas/liza,19,Go,61,17,,
385,natea/ExoMind,19,TypeScript,12,0,,
386,gamekit-agent/gamekit-cli,19,TypeScript,41,3,,
387,jMerta/codex-skills,19,Python,117,11,,
388,GGPrompts/TabzChrome,19,TypeScript,126,10,,
389,Hmbown/MiniMax-CLI,19,Rust,10,2,,
390,powroom/flins,19,TypeScript,34,7,,
391,0xAxiom/AppFactory,19,TypeScript,122,22,,
392,Peiiii/skild,19,TypeScript,96,7,,
393,Shubhamsaboo/awesome-llm-apps,19,Python,97033,14115,,
394,streamlit/agent-skills,19,Python,99,5,,
395,shynlee04/hivemind-plugin,19,TypeScript,50,17,,
396,senweaver/senweaver-ide,19,TypeScript,14,0,,
397,stacklok/toolhive-studio,18,TypeScript,114,13,,
398,fluxzero-io/fluxzero-sdk-java,18,Java,13,1,,
399,ramo4040/olyx-ui,18,TypeScript,12,0,,
400,Yangchengshuai/Aerotri-Web,18,JavaScript,15,5,,
401,saffron-health/opencode-gui,18,TypeScript,22,7,,
402,rvdbreemen/OTGW-firmware,18,C++,171,39,,
403,satsigner/satsigner,18,TypeScript,45,22,,
404,vercel-labs/json-render,18,TypeScript,11336,607,,
405,AgentWorkforce/relay,18,TypeScript,252,18,,
406,tutur3u/platform,18,TypeScript,46,24,,
407,zoonk/zoonk,18,TypeScript,98,6,,
408,mahidalhan/claude-hacks,18,Python,22,0,,
409,bradygaster/squad,18,JavaScript,347,36,,
410,jonathan-vella/azure-agentic-infraops,18,Python,94,28,,
411,itsmostafa/aws-agent-skills,18,Python,1001,425,,
412,yaleh/meta-cc,18,Go,16,1,,
413,ComposioHQ/composio,18,TypeScript,27181,4455,,
414,jykim/claude-obsidian-skills,18,Python,28,5,,
415,lofcz/LLMTornado,18,C#,560,92,,
416,nrwl/nx-console,18,TypeScript,1395,238,,
417,ianyimi/payloadcms-redis-plugin,18,TypeScript,12,0,,
418,nclamvn/bom-cham,18,TypeScript,21,11,,
419,nyosegawa/skills,18,Python,16,0,,
420,vasilievyakov/miracle-infrastructure,18,Python,11,0,,
421,yunshu0909/yunshu_skillshub,18,Python,227,37,,
422,elbwalker/walkerOS,17,TypeScript,325,16,,
423,nlelouche/Unity3D-AntiGravitySkills,17,Python,23,3,,
424,antfu/skills,17,TypeScript,3614,172,,
425,Narwhal-Lab/Skills-For-All-Agent,17,Python,13,0,,
426,nanorepublica/django-prodserver,17,Python,52,3,,
427,arunoda/OkBrain,17,TypeScript,11,1,,
428,nj19257/FastSkills,17,Python,38,6,,
429,bolivian-peru/os-moda,17,Rust,62,8,,
430,mikeyobrien/ralph-orchestrator,17,Rust,1913,198,,
431,mapbox/mapbox-agent-skills,17,JavaScript,11,0,,
432,marcus/sidecar,17,Go,799,59,,
433,HeshamFS/materials-simulation-skills,17,Python,20,2,,
434,johnrogers/claude-swift-engineering,17,Python,133,7,,
435,jjmartres/opencode,17,Python,50,5,,
436,liyecom/liye-ai,17,JavaScript,33,4,,
437,jordanhubbard/loom,17,Go,84,9,,
438,hirotaka/pragmatic-nuxt,17,TypeScript,154,12,,
439,darrenhinde/OpenAgentsControl,17,TypeScript,2216,204,,
440,nrwl/nx,17,TypeScript,28205,2672,,
441,nanorepublica/django-deadcode,17,Python,40,1,,
442,prime-radiant-inc/serf,17,Go,11,0,,
443,ahaodev/heji,17,TypeScript,55,15,,
444,OmidZamani/dspy-skills,17,Python,41,5,,
445,vchelaru/Gum,17,C#,428,68,,
446,adamfilli/happy-simulator,17,Python,11,0,,
447,NASA-AMMOS/slim,17,JavaScript,31,14,,
448,Till-Crazy-Tears-Us-Apart/Claude-Code-Engineering-Suite,17,Python,12,0,,
449,undsky/RuoYi-SpringBoot3-Pro,17,Java,122,47,,
450,Soju06/codex-lb,17,Python,100,19,,
451,staruhub/ClaudeSkills,17,Python,117,29,,
452,SCStelz/security-investigator,17,Python,42,13,,
453,zard-ui/zardui,16,TypeScript,870,76,,
454,team-attention/plugins-for-claude-natives,16,Python,549,63,,
455,DeL-TaiseiOzaki/claude-code-orchestra,16,Python,112,18,,
456,atopile/atopile,16,Python,3081,168,,
457,aiyuekuang/LLMProxy,16,Go,10,2,,
458,indexedlabs/pydantic-ai-gepa,16,Python,22,5,,
459,bytedance/deer-flow,16,TypeScript,20291,2550,,
460,machina-sports/sports-skills,16,Python,33,2,,
461,hyperlane-xyz/hyperlane-monorepo,16,TypeScript,49,555,,
462,MoomFE/mixte,16,TypeScript,18,2,,
463,hoangsonww/AI-Gov-Content-Curator,16,TypeScript,23,11,,
464,reactive/data-client,16,TypeScript,2024,98,,
465,jongwony/epistemic-protocols,16,JavaScript,46,4,,
466,daangn/seed-design,16,TypeScript,830,41,,
467,chrispangg/deepagentsdk,16,TypeScript,97,9,,
468,forcedotcom/salesforcedx-vscode,16,TypeScript,994,432,,
469,Xerus-ai/openwork,16,TypeScript,28,1,,
470,Mulily0513/Omni,16,Python,14,1,,
471,SpillwaveSolutions/automating-mac-apps-plugin,16,Python,12,2,,
472,KartikLabhshetwar/screenshot-studio,16,TypeScript,442,84,,
473,ntk148v/clicklens,16,TypeScript,12,3,,
474,opendatahub-io/ai-helpers,16,Python,15,26,,
475,algorand-devrel/algorand-agent-skills,16,Python,25,7,,
476,bacoco/BMad-Skills,16,Python,65,10,,
477,canonical/copilot-collections,16,Python,10,8,,
478,verekia/r3f-gamedev,16,TypeScript,26,0,,
479,Synaptic-Labs-AI/PACT-Plugin,16,Python,45,10,,
480,UnicomAI/wanwu,16,Go,4105,72,,
481,gleanwork/claude-plugins,15,JavaScript,12,1,,
482,ognjengt/founder-skills,15,JavaScript,82,7,,
483,barretstorck/gemini-superpowers,15,TypeScript,21,2,,
484,badlogic/pi-mono,15,TypeScript,16380,1720,,
485,AgiFlow/claude-code-prompt-analysis,15,Python,17,1,,
486,vicanso/zedis,15,Rust,1695,38,,
487,MiniMax-AI/Mini-Agent,15,Python,1677,254,,
488,BulloRosso/etienne,15,TypeScript,13,2,,
489,keep-starknet-strange/starknet-agentic,15,TypeScript,70,18,,
490,bartstc/vite-ts-react-template,15,TypeScript,114,12,,
491,vaayne/agent-kit,15,TypeScript,29,1,,
492,vallafederico/webflow-dev-setup,15,TypeScript,15,2,,
