rank,repo,python_all_labeled_skill_count,python_all_sdlc_skill_count,python_all_filtered_skill_count,python_all_unclassified_count,python_all_filter_agent_skill_count,python_all_filter_outside_scope_count,python_all_filter_wrong_language_count,skill_count,mainLanguage,stars,forks,commits,contributors
115,comet-ml/opik,1,1,0,0,0,0,0,16,Python,18249,1395,4888.0,113.0
116,eventum-generator/eventum,1,1,0,0,0,0,0,16,Python,41,1,2598.0,1.0
117,Axect/magi-researchers,2,0,2,0,2,0,0,16,Python,11,1,130.0,1.0
118,amachino/qubex,1,0,1,0,1,0,0,16,Python,16,12,2707.0,11.0
119,microsoft/apm,1,0,1,0,0,1,0,15,Python,463,35,716.0,14.0
120,NVIDIA-NeMo/DataDesigner,1,1,0,0,0,0,0,14,Python,806,66,312.0,15.0
121,edictum-ai/edictum,1,1,0,0,0,0,0,14,Python,16,3,186.0,3.0
122,jeanluciano/quaestor,1,1,0,0,0,0,0,14,Python,20,2,211.0,2.0
123,vict00r99/Rune-stone,1,1,0,0,0,0,0,14,Python,58,11,12.0,1.0
124,NomaDamas/AutoRAG-Research,1,0,1,0,1,0,0,14,Python,84,16,120.0,2.0
125,bradsjm/hassio-addons,1,0,1,0,0,1,0,14,Python,38,40,161.0,6.0
126,yhy0/CHYing-agent,1,0,1,0,0,0,1,14,Python,381,30,14.0,1.0
127,ylxmf2005/swcc,1,0,1,0,0,0,1,14,Python,46,4,13.0,3.0
128,i-am-bee/agentstack,2,1,1,0,1,0,0,12,Python,1035,158,2161.0,34.0
129,BauplanLabs/bauplan-mcp-server,1,1,0,0,0,0,0,12,Python,11,2,63.0,4.0
130,OpenHands/software-agent-sdk,1,1,0,0,0,0,0,12,Python,578,173,1243.0,65.0
131,nex-agi/NexRL,1,1,0,0,0,0,0,12,Python,103,5,41.0,1.0
132,KashyapTan/Xpdite,1,0,1,0,1,0,0,12,Python,11,3,216.0,1.0
133,MemTensor/MemOS,1,0,1,0,1,0,0,12,Python,6877,617,1085.0,43.0
134,vurakit/agentup,1,0,1,0,0,1,0,12,Python,55,15,10.0,1.0
135,SamJHudson01/Carmack-Council,1,1,0,0,0,0,0,10,Python,19,1,19.0,1.0
136,Xray-App/xray-code-snippets,1,1,0,0,0,0,0,10,Python,27,11,108.0,6.0
137,ccxt/ccxt,1,1,0,0,0,0,0,10,Python,41330,8545,94250.0,879.0
138,google/mcp-security,1,1,0,0,0,0,0,10,Python,449,98,356.0,34.0
139,RainerSeventeen/paper-tracker,1,0,1,0,0,0,1,10,Python,34,7,54.0,1.0
140,Ruya-AI/cozempic,1,0,1,0,1,0,0,10,Python,154,6,57.0,5.0
141,dkyazzentwatwa/apple-flow,1,0,1,0,1,0,0,10,Python,63,7,158.0,2.0
142,eosphoros-ai/DB-GPT,1,0,1,0,1,0,0,10,Python,18260,2570,3289.0,171.0
143,smixs/agent-second-brain,1,0,1,0,1,0,0,10,Python,176,154,88.0,3.0
