rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors
154,foxminchan/BookWorm,26,C#,475,62,,
155,JetBrains/intellij-community,26,Java,19741,5690,,
156,ruvnet/midstream,26,Rust,61,20,,
157,ruvnet/agentic-robotics,26,TypeScript,14,3,,
158,rohitg00/kubectl-mcp-server,26,Python,837,167,,
159,rand/cc-polymath,26,Python,74,5,,
160,davidabeyer/formaltask,25,Python,13,1,,
161,fellipeutaka/kanpeki,25,TypeScript,28,1,,
162,TheCraigHewitt/seomachine,25,Python,352,99,,
163,CloudToLocalLLM-online/CloudToLocalLLM,25,JavaScript,18,3,,
164,agenticsorg/lean-agentic,25,Rust,44,6,,
165,aehrc/pathling,25,Java,120,19,,
166,PaulJPhilp/EffectPatterns,25,TypeScript,683,22,,
167,different-ai/agent-bank,25,TypeScript,196,37,,
168,LowyShin/giip-dev-agent,25,JavaScript,25,3,,
169,laborany/laborany,25,TypeScript,40,1,,
170,s-hiraoku/vscode-sidebar-terminal,25,TypeScript,12,6,,
171,jabrena/cursor-rules-java,25,Java,295,55,,
172,hiromaily/go-crypto-wallet,25,Go,124,35,,
173,hannesill/m4,24,Python,16,9,,
174,aws-samples/sample-strands-agent-with-agentcore,24,Python,103,38,,
175,fall-out-bug/sdp,24,Go,16,0,,
176,dereekb/dbx-components,24,TypeScript,12,1,,
177,kazukinagata/shinkoku,24,Python,170,10,,
178,VioletCranberry/coco-search,24,Python,12,0,,
179,hexianWeb/Third-Person-MC,24,JavaScript,15,5,,
180,wasintoh/toh-framework,24,JavaScript,73,16,,
181,github/gh-aw,24,Go,3613,252,,
182,espennilsen/pi,23,TypeScript,12,0,,
183,jpmorgan-payments/embedded-finance,23,TypeScript,18,6,,
184,lvndry/jazz,23,TypeScript,36,5,,
185,ginlix-ai/LangAlpha,23,Python,14,3,,
186,hoangsonww/PetSwipe-Match-App,23,TypeScript,18,10,,
187,dagster-io/erk,23,Python,71,7,,
188,TheOrcDev/8bitcn-ui,23,TypeScript,1653,101,,
189,radioactive-labs/plutonium-core,23,JavaScript,56,7,,
190,nWave-ai/nWave,23,Python,172,18,,
191,cnoe-io/ai-platform-engineering,22,Python,312,45,,
192,yi-john-huang/sdd-mcp,22,TypeScript,35,3,,
193,okwinds/miscellany,22,Python,27,2,,
194,eat-pray-ai/yutu,22,Go,383,38,,
195,zerx-lab/rmx,22,Rust,28,0,,
196,thc1006/nephoran-intent-operator,22,Go,14,2,,
197,mehdic/bazinga,22,Python,17,0,,
198,timdeschryver/Sandbox,22,C#,47,16,,
199,AuroraWebSoftware/AAuth,21,PHP,41,7,,
200,jonathan-vella/azure-agentic-infraops,21,Python,94,28,,
201,runtime-env/runtime-env,21,TypeScript,41,2,,
202,OpenDCAI/leonai,21,Python,21,1,,
203,telagod/code-abyss,21,JavaScript,79,7,,
204,netease-youdao/LobsterAI,21,TypeScript,2439,266,,
205,loonghao/vx,21,Rust,16,2,,
206,jaxxstorm/sentinel,20,Go,32,2,,
207,cloudflare/workerd,20,C++,7545,540,,
208,JochenYang/Jochen-ai-rules,20,Python,12,2,,
209,JinFanZheng/kode-sdk-csharp,20,C#,55,16,,
210,Creatiwity/siren,20,Rust,20,1,,
211,pilinux/gorest,20,Go,487,63,,
212,osalvador/ReplicaDB,20,Java,478,111,,
213,LIDR-academy/AI4Devs-LTI-extended,20,TypeScript,39,60,,
214,huangwb8/ChineseResearchLaTeX,20,Python,819,106,,
215,jaxxstorm/tscli,20,Go,61,8,,
216,RtlZeroMemory/Rezi,20,TypeScript,459,10,,
217,snyk/agent-scan,20,Python,1581,157,,
218,alibaba/druid,20,Java,28218,8612,,
219,shenjingnan/xiaozhi-client,20,TypeScript,259,69,,
220,facebook/immersive-web-sdk,20,TypeScript,481,62,,
221,astronomer/agents,20,Python,242,22,,
222,jixoai/openspecui,20,TypeScript,31,6,,
223,quiqr/quiqr-desktop,20,TypeScript,169,10,,
224,tsedio/tsed-cli,20,TypeScript,43,24,,
225,getsentry/dotagents,20,TypeScript,67,3,,
226,senweaver/senweaver-ide,19,TypeScript,14,0,,
227,ArcaneOrion/Alice-Single,19,Python,12,2,,
228,GGPrompts/TabzChrome,19,TypeScript,126,10,,
229,vchelaru/Gum,19,C#,428,68,,
230,gamekit-agent/gamekit-cli,19,TypeScript,41,3,,
231,Peiiii/skild,19,TypeScript,96,7,,
232,BA-CalderonMorales/terminal-jarvis,19,Rust,120,16,,
233,xiaobei930/cc-best,19,JavaScript,25,0,,
234,Salesably/salesably-marketplace,19,Python,14,2,,
235,0xAxiom/AppFactory,19,TypeScript,122,22,,
236,bytedance/agentkit-samples,19,Python,215,41,,
237,powroom/flins,19,TypeScript,34,7,,
238,aexol-studio/axolotl,19,TypeScript,27,2,,
239,civitai/civitai,19,TypeScript,7019,708,,
240,liza-mas/liza,19,Go,61,17,,
241,Hmbown/MiniMax-CLI,19,Rust,10,2,,
242,Gentleman-Programming/engram,19,Go,469,40,,
243,llama-farm/llamafarm,19,Python,816,47,,
244,natea/ExoMind,19,TypeScript,12,0,,
245,mitsuhiko/agent-stuff,19,TypeScript,1337,89,,
246,AgentWorkforce/relay,18,TypeScript,252,18,,
247,satsigner/satsigner,18,TypeScript,45,22,,
248,vercel-labs/json-render,18,TypeScript,11336,607,,
249,nrwl/nx-console,18,TypeScript,1395,238,,
250,nclamvn/bom-cham,18,TypeScript,21,11,,
251,tutur3u/platform,18,TypeScript,46,24,,
252,lofcz/LLMTornado,18,C#,560,92,,
253,fluxzero-io/fluxzero-sdk-java,18,Java,13,1,,
254,bradygaster/squad,18,JavaScript,347,36,,
255,KartikLabhshetwar/screenshot-studio,18,TypeScript,442,84,,
256,ComposioHQ/composio,18,TypeScript,27181,4455,,
257,jjmartres/opencode,18,Python,50,5,,
258,Yangchengshuai/Aerotri-Web,18,JavaScript,15,5,,
259,vasilievyakov/miracle-infrastructure,18,Python,11,0,,
260,ramo4040/olyx-ui,18,TypeScript,12,0,,
261,rvdbreemen/OTGW-firmware,18,C++,171,39,,
262,saffron-health/opencode-gui,18,TypeScript,22,7,,
263,zoonk/zoonk,18,TypeScript,98,6,,
264,arunoda/OkBrain,17,TypeScript,11,1,,
265,marcus/sidecar,17,Go,799,59,,
266,SCStelz/security-investigator,17,Python,42,13,,
267,liyecom/liye-ai,17,JavaScript,33,4,,
