language,rank,repo,skill_count,stars,forks,commits,contributors
C#,42,LM-Kit/lm-kit-net-samples,3,38,6,,
C#,43,OrchardCMS/OrchardCore,3,8041,2550,,
C#,44,GitTools/GitVersion,3,3087,664,,
C#,45,CoplayDev/unity-mcp,3,6241,758,,
C#,46,jguadagno/jjgnet-broadcast,3,18,4,,
C#,47,elbruno/elbruno.localembeddings,3,13,0,,
C#,48,dotnet/sdk,3,3058,1205,,
C#,49,cmdscale/CmdScale.EntityFrameworkCore.TimescaleDB,3,47,6,,
C#,50,sbroenne/mcp-server-excel,2,52,8,,
C#,51,whuanle/EasyTouch,2,24,6,,
C#,52,yucchiy/UniCli,2,11,0,,
C#,53,sheng-jie/learn-cc-csharp,2,33,9,,
C#,54,dotnet/android,2,2097,568,,
C#,55,ThindalTV/BlazorBlocks,2,13,1,,
C#,56,BloomBooks/BloomDesktop,2,41,18,,
C#,57,AzureAD/microsoft-identity-web,2,771,255,,
C#,58,maddymontaquila/aspirifridays,2,17,5,,
C#,59,reynj/reynj,2,14,0,,
C#,60,ingen084/KyoshinEewViewerIngen,2,170,18,,
C#,61,quartznet/quartznet,2,7002,1731,,
C#,62,dotnet/SqlClient,2,960,322,,
C#,63,doggy8088/gemini-tts-cli,2,27,3,,
C#,64,ZenoxZX/trello-cli,1,15,2,,
C#,65,ShapeCrawler/ShapeCrawler,1,409,77,,
C#,66,MarsonShine/Books,1,49,10,,
C#,67,MDA2AV/Http11Probe,1,10,5,,
C#,68,PowerShell/PowerShell,1,51651,8187,,
C#,69,ProjectMagma/Magma,1,110,1,,
C#,70,AIDotNet/OpenDeepWiki,1,2834,370,,
C#,71,Redth/Maui.Gtk,1,19,1,,
C#,72,Redth/MauiDevFlow,1,23,4,,
C#,73,craigktreasure/SlnUp,1,12,0,,
C#,74,altasoft/DomainPrimitives,1,60,2,,
C#,75,dotnet/aspnetcore,1,37744,10591,,
C#,76,dotnet/dev-proxy,1,777,80,,
C#,77,dotnet/extensions,1,3120,854,,
C#,78,liyingsong99/AIBridge,1,42,3,,
C#,79,lionfire/Trading,1,19,6,,
C#,80,justeattakeaway/JustSaying,1,55,23,,
C#,81,elastic/docs-builder,1,16,34,,
C#,82,dotnet/nuget-trends,1,179,41,,
C#,83,dotnet/razor,1,708,236,,
C#,84,microsoft/playwright-dotnet,1,2892,297,,
C#,85,microsoft/PowerToys,1,130079,7728,,
C#,86,openai/openai-dotnet,1,2504,365,,
C#,87,platformplatform/PlatformPlatform,1,398,50,,
C#,88,natemcmaster/CommandLineUtils,1,2277,264,,
C#,89,mizrael/OpenSleigh,1,335,41,,
C#,90,shinyorg/mediator,1,42,5,,
C#,91,shinyorg/mauiplatforms,1,12,2,,
C#,92,shinyorg/maui,1,10,0,,
C#,93,shinyorg/reflector,1,19,1,,
C++,1,cloudflare/workerd,20,7545,540,,
C++,2,rvdbreemen/OTGW-firmware,18,171,39,,
C++,3,AztecProtocol/aztec-packages,15,424,590,,
C++,4,dartsim/dart,12,1058,296,,
C++,5,ClickHouse/ClickHouse,7,46049,8115,,
C++,6,j-r-beckett/SpeedReader,6,11,1,,
C++,7,zilliztech/knowhere,5,322,128,,
C++,8,laoshanxi/app-mesh,4,211,28,,
C++,9,hzqst/metamod-fallguys,4,16,5,,
C++,10,ossrs/srs,4,28552,5650,,
C++,11,microsoft/WindowsAppSDK,3,4434,417,,
C++,12,vllm-project/vllm-ascend,3,1692,846,,
C++,13,nwjs/chromium.src,3,159,128,,
C++,14,chromium/chromium,3,23024,8605,,
C++,15,intel/confidential-computing-zoo,3,350,66,,
C++,16,vanillapdf/vanillapdf,2,12,1,,
C++,17,grafana/pyroscope-dotnet,2,35,10,,
C++,18,ispc/ispc,2,2844,344,,
C++,19,Apra-Labs/ApraPipes,1,33,36,,
C++,20,electron/electron,1,120218,17008,,
C++,21,ezEngine/ezEngine,1,1901,236,,
C++,22,apache/tvm-ffi,1,350,62,,
C++,23,Mq-b/Lab2QRCode,1,15,10,,
C++,24,chdb-io/chdb,1,2618,102,,
C++,25,crazyguitar/cppcheatsheet,1,258,48,,
C++,26,invergent-ai/surogate,1,105,2,,
C++,27,ecubus/EcuBus-Pro,1,721,197,,
C++,28,kvcache-ai/Mooncake,1,4808,567,,
C++,29,mcpp-community/mcpp-style-ref,1,28,0,,
C++,30,ml-explore/mlx-swift,1,1596,156,,
C++,31,openharmony/graphic_graphic_2d,1,11,5,,
C++,32,tenstorrent/tt-llk,1,34,26,,
C++,33,tenzir/tenzir,1,723,103,,
Go,1,LerianStudio/ring,108,113,12,,
Go,2,moasq/nanowave,104,27,5,,
Go,3,go-mizu/mizu,52,44,2,,
Go,4,diillson/chatcli,47,62,20,,
Go,5,drn/dots,44,22,4,,
Go,6,smallnest/langgraphgo,40,198,30,,
Go,7,linanwx/nagobot,38,31,4,,
Go,8,DotNetAge/mindx,35,15,5,,
Go,9,microbus-io/fabric,29,170,5,,
Go,10,sunholo-data/ailang,27,20,2,,
Go,11,vfarcic/dot-ai-controller,27,42,5,,
Go,12,hiromaily/go-crypto-wallet,25,124,35,,
Go,13,fall-out-bug/sdp,24,16,0,,
Go,14,github/gh-aw,24,3613,252,,
Go,15,eat-pray-ai/yutu,22,383,38,,
Go,16,thc1006/nephoran-intent-operator,22,14,2,,
Go,17,jaxxstorm/sentinel,20,32,2,,
Go,18,jaxxstorm/tscli,20,61,8,,
Go,19,pilinux/gorest,20,487,63,,
Go,20,Gentleman-Programming/engram,19,469,40,,
Go,21,liza-mas/liza,19,61,17,,
Go,22,jordanhubbard/loom,17,84,9,,
Go,23,marcus/sidecar,17,799,59,,
Go,24,prime-radiant-inc/serf,17,11,0,,
Go,25,UnicomAI/wanwu,16,4105,72,,
Go,26,aiyuekuang/LLMProxy,16,10,2,,
Go,27,kaptinlin/gozod,15,18,1,,
Go,28,kalbasit/ncps,14,271,11,,
Go,29,roborev-dev/roborev,14,605,55,,
Go,30,joa23/linear-cli,13,82,9,,
Go,31,devantler-tech/ksail,11,133,5,,
Go,32,eser/aya.is,11,54,23,,
Go,33,goern/forgejo-mcp,11,30,7,,
Go,34,openshift/hypershift,11,511,446,,
Go,35,Goldziher/ai-rulez,10,89,7,,
Go,36,oodaris/autocodex,10,11,0,,
Go,37,weibaohui/kom,10,146,33,,
Go,38,luthersystems/elps,9,36,9,,
Go,39,GoBetterAuth/go-better-auth,8,129,17,,
Go,40,willvelida/code-minions,8,22,2,,
Go,41,chmouel/lazyworktree,7,129,6,,
Go,42,danshapiro/kilroy,7,115,24,,
Go,43,holon-run/holon,7,76,6,,
Go,44,rubiojr/rugo,7,22,1,,
Go,45,wavetermdev/waveterm,7,17509,783,,
Go,46,yaacov/kubectl-mtv,7,11,1,,
Go,47,Dowwie/tasker,6,15,1,,
Go,48,TsingmaoAI/xw-cli,6,290,30,,
Go,49,alibaba/higress,6,7572,994,,
Go,50,clidey/whodb,6,4646,172,,
Go,51,jclark/satpulse,6,33,2,,
Go,52,ubie-oss/terraform-provider-lightdash,6,17,4,,
Go,53,yxhpy/qcc_plus,6,39,13,,
Go,54,GoogleCloudPlatform/gke-mcp,5,125,51,,
Go,55,chainloop-dev/chainloop,5,526,47,,
Go,56,chrisbanes/grove,5,17,0,,
Go,57,ezbuy/ezorm,5,50,21,,
Go,58,k-orc/openstack-resource-controller,5,68,35,,
Go,59,maximhq/bifrost,5,2548,264,,
Go,60,openshift-online/maestro,5,17,34,,
Go,61,pgplex/pgschema,5,798,30,,
Go,62,rilldata/rill,5,2504,164,,
Go,63,DataDog/datadog-agent,4,3527,1377,,
Go,64,asteroid-belt/skulto,4,22,0,,
Go,65,axiomhq/cli,4,54,12,,
Go,66,aztfmod/terraform-provider-azurecaf,4,183,101,,
Go,67,cloudshipai/station,4,384,35,,
Go,68,dagger/dagger,4,15458,845,,
Go,69,epam/edp-keycloak-operator,4,71,31,,
Go,70,kcaldas/genie,4,11,0,,
Go,71,securego/gosec,4,8696,685,,
Go,72,snyk/snyk-ls,4,75,15,,
Go,73,superplanehq/superplane,4,689,109,,
Go,74,towns-protocol/towns,4,66,62,,
Go,75,wordflowlab/agentsdk,4,12,2,,
Go,76,xmtp/xmtpd,4,55,44,,
Go,77,MitulShah1/openai-agents-go,3,33,2,,
Go,78,avivsinai/agent-message-queue,3,27,3,,
Go,79,avivsinai/bitbucket-cli,3,23,6,,
Go,80,avivsinai/jenkins-cli,3,25,3,,
Go,81,blueman82/conductor,3,39,2,,
Go,82,boolean-maybe/tiki,3,85,3,,
Go,83,engneer-hamachan/ruby-ti,3,65,2,,
Go,84,entireio/cli,3,3022,206,,
Go,85,gke-labs/gemini-for-kubernetes-development,3,10,17,,
Go,86,junevm/splathash,3,170,5,,
Go,87,jzila/canopy,3,28,5,,
Go,88,louisho5/picobot,3,1059,137,,
Go,89,mnemon-dev/mnemon,3,16,0,,
Go,90,nandemo-ya/kecs,3,41,0,,
Go,91,okteto/okteto,3,3490,316,,
Go,92,pevans/erc,3,12,2,,
Go,93,planetscale/terraform-provider-planetscale,3,21,3,,
Go,94,projectcalico/calico,3,7090,1545,,
Go,95,pulumi/pulumi-alicloud,3,71,7,,
Go,96,pulumi/pulumi-auth0,3,25,6,,
Go,97,pulumi/pulumi-aws,3,570,182,,
Go,98,pulumi/pulumi-azure,3,144,54,,
Go,99,pulumi/pulumi-azuread,3,20,7,,
Go,100,pulumi/pulumi-cloudflare,3,147,16,,
Java,1,Hack23/cia,79,207,53,,
Java,2,bitsoex/bitso-java,45,36,30,,
Java,3,JetBrains/intellij-community,26,19741,5690,,
Java,4,aehrc/pathling,25,120,19,,
Java,5,jabrena/cursor-rules-java,25,295,55,,
Java,6,osalvador/ReplicaDB,20,478,111,,
Java,7,alibaba/druid,20,28218,8612,,
Java,8,fluxzero-io/fluxzero-sdk-java,18,13,1,,
Java,9,undsky/RuoYi-SpringBoot3-Pro,17,122,47,,
Java,10,datavane/tis,10,1282,276,,
Java,11,XiaoMi/mone,9,1152,179,,
Java,12,apache/beam,9,8497,4516,,
Java,13,dokimos-dev/dokimos,8,18,2,,
Java,14,microsoft/typespec,7,5601,341,,
Java,15,copilot-community-sdk/copilot-sdk-java,6,42,8,,
Java,16,entropy-cloud/nop-entropy,6,678,95,,
Java,17,ls1intum/Hephaestus,6,16,1,,
Java,18,pinpoint-apm/pinpoint,6,13808,3769,,
Java,19,spring-ai-community/spring-ai-agent-utils,6,127,27,,
Java,20,spldeolin/allison1875,6,17,2,,
Java,21,whtoo/How_to_implment_PL_in_Antlr4,6,33,5,,
Java,22,sky-map-team/stardroid,5,1588,263,,
Java,23,cyberkaida/reverse-engineering-assistant,5,606,54,,
Java,24,Rainnny7/RESTfulMC,5,22,1,,
Java,25,alibaba/spring-ai-alibaba,4,8459,1859,,
Java,26,itxaiohanglover/codestyle,4,14,1,,
Java,27,eclipse-rdf4j/rdf4j,4,394,180,,
Java,28,dromara/Sa-Token,4,18630,2884,,
Java,29,dtprj/dongting,3,208,19,,
Java,30,apache/shardingsphere,3,20685,6915,,
Java,31,PlayersCommittee/gemp-swccg-public,3,30,35,,
Java,32,siy/coding-technology,3,12,3,,
Java,33,microwind/design-patterns,3,91,19,,
Java,34,langgraph4j/langgraph4j,3,1352,186,,
Java,35,duoec/duo-video,3,54,10,,
Java,36,liftwizard/liftwizard,2,15,8,,
Java,37,apache/juneau,2,92,38,,
Java,38,Azure/autorest.java,2,36,85,,
Java,39,mzmine/mzmine,2,259,156,,
Java,40,agents-flex/agents-flex,2,1386,109,,
Java,41,Tahanima/playwright-java-test-automation-architecture,2,106,91,,
Java,42,DataDog/dd-trace-java,2,691,329,,
Java,43,MorphiaOrg/morphia,2,1677,454,,
Java,44,AnySoftKeyboard/AnySoftKeyboard,1,3241,904,,
Java,45,AxonFramework/AxonFramework,1,3552,831,,
Java,46,JohanBlome/encapp,1,25,17,,
Java,47,ZSPSTRIVE/SpringAI-langchain-StudyBot,1,39,6,,
Java,48,deltazefiro/Amarok-Hider,1,2853,96,,
Java,49,cqframework/clinical-reasoning,1,45,39,,
Java,50,apache/ignite-3,1,307,138,,
Java,51,apache/fesod,1,5827,485,,
Java,52,JetBrains/youtrackdb,1,128,9,,
Java,53,flutter/flutter-intellij,1,2016,336,,
Java,54,glowroot/glowroot,1,1323,332,,
Java,55,gravitee-io/gravitee-access-management,1,58,27,,
Java,56,microsoft/playwright-java,1,1445,271,,
Java,57,johannilsson/sthlmtraveling,1,114,37,,
Java,58,itxaiohanglover/mcp-codestyle-server,1,44,2,,
Java,59,naver/spring-jdbc-plus,1,292,34,,
Java,60,themixednuts/GhidraMCP,1,40,7,,
Java,61,wgzhao/Addax,1,1404,331,,
Java,62,xiaou61/Code-Nest,1,786,21,,
Java,63,zero-ws/zero-ecotope,1,22,4,,
JavaScript,1,a5c-ai/babysitter,2023,331,15,,
JavaScript,2,Community-Access/accessibility-agents,83,47,4,,
JavaScript,3,dr-robert-li/cowork-wordpress-expert,54,15,1,,
JavaScript,4,sd0xdev/sd0x-dev-flow,47,39,4,,
JavaScript,5,pbakaus/impeccable,36,217,14,,
JavaScript,6,lintendo/Axhub-Make,34,20,6,,
JavaScript,7,shoootyou/get-shit-done-multi,34,12,1,,
JavaScript,8,agent-sh/agentsys,30,484,46,,
JavaScript,9,popup-studio-ai/bkit-gemini,29,30,8,,
JavaScript,10,CloudToLocalLLM-online/CloudToLocalLLM,25,18,3,,
JavaScript,11,LowyShin/giip-dev-agent,25,25,3,,
JavaScript,12,hexianWeb/Third-Person-MC,24,15,5,,
JavaScript,13,wasintoh/toh-framework,24,73,16,,
JavaScript,14,radioactive-labs/plutonium-core,23,56,7,,
JavaScript,15,telagod/code-abyss,21,79,7,,
JavaScript,16,xiaobei930/cc-best,19,25,0,,
JavaScript,17,Yangchengshuai/Aerotri-Web,18,15,5,,
JavaScript,18,bradygaster/squad,18,347,36,,
JavaScript,19,NASA-AMMOS/slim,17,31,14,,
JavaScript,20,liyecom/liye-ai,17,33,4,,
JavaScript,21,jongwony/epistemic-protocols,16,46,4,,
JavaScript,22,Project-N-E-K-O/N.E.K.O,15,683,94,,
JavaScript,23,adobe/helix-website,15,38,55,,
JavaScript,24,zylos-ai/zylos-core,14,805,79,,
JavaScript,25,block/goosetown,12,40,5,,
JavaScript,26,leonardomso/33-js-concepts,12,66256,9192,,
JavaScript,27,sailscastshq/boring-stack,12,485,24,,
JavaScript,28,angular/dev-infra,11,71,61,,
JavaScript,29,FHIR/sql-on-fhir-v2,10,126,34,,
JavaScript,30,hamr0/liteagents,10,11,2,,
JavaScript,31,akiojin/unity-mcp-server,9,22,6,,
JavaScript,32,paralleldrive/aidd,9,244,17,,
JavaScript,33,suyashb734/cliagents,9,14,2,,
JavaScript,34,Joncik91/ucai,8,26,2,,
JavaScript,35,MetalLegBob/solana-vibes-kit,8,13,0,,
JavaScript,36,joshtol/emotive-engine,8,11,1,,
JavaScript,37,popmechanic/vibes-cli,8,15,2,,
JavaScript,38,shinpr/agentic-code,8,34,3,,
JavaScript,39,stephengpope/thepopebot,8,765,390,,
JavaScript,40,vercel/next.js,8,137982,30512,,
JavaScript,41,facebook/react,7,243360,50626,,
JavaScript,42,influxdata/docs-v2,7,80,325,,
JavaScript,43,itz4blitz/agentful,7,12,7,,
JavaScript,44,jdubray/puffin,7,16,4,,
JavaScript,45,josstei/maestro-gemini,7,49,1,,
JavaScript,46,Ratler/dream-team,6,12,2,,
JavaScript,47,asamassekou10/ship-safe,6,59,2,,
JavaScript,48,caretive-ai/project-careti,6,46,10,,
JavaScript,49,nabondance/Trailhead-Banner,6,46,1,,
JavaScript,50,atlassian/atlassian-mcp-server,5,346,39,,
JavaScript,51,kazuph/reviw,5,17,0,,
JavaScript,52,mikkelkrogsholm/ai-laegens-bord,5,37,3,,
JavaScript,53,peterfei/ai-agent-team,5,274,34,,
JavaScript,54,sinewaveai/agent-security-scanner-mcp,5,58,5,,
JavaScript,55,Codename-Inc/spectre,4,106,11,,
JavaScript,56,Purple-Horizons/tick-md,4,12,0,,
JavaScript,57,TryGhost/Ghost,4,51905,11339,,
JavaScript,58,apify/apify-docs,4,62,173,,
JavaScript,59,mark-friedman/scheme-js,4,12,2,,
JavaScript,60,pwndoc/pwndoc,4,2759,498,,
JavaScript,61,searlsco/prove_it,4,135,5,,
JavaScript,62,victorGPT/vibeusage,4,96,5,,
JavaScript,63,bbplayer-app/BBPlayer,3,385,21,,
JavaScript,64,buildonspark/spark,3,83,44,,
JavaScript,65,dongbeixiaohuo/writing-agent,3,68,15,,
JavaScript,66,duolingo/pre-commit-hooks,3,66,10,,
JavaScript,67,facebook/hermes,3,10804,735,,
JavaScript,68,lwj1994/flutter_view_model,3,20,1,,
JavaScript,69,pbakaus/agent-reviews,3,49,2,,
JavaScript,70,trendmicro-frontend/tonic-ui,3,134,39,,
JavaScript,71,wrenfix/oag,3,10,0,,
JavaScript,72,Chia-Network/cadt,2,39,14,,
JavaScript,73,FREEZONEX/Tier0-Edge,2,157,23,,
JavaScript,74,GeneBO98/tradetally,2,147,26,,
JavaScript,75,GoogleChromeLabs/web-ai-demos,2,280,68,,
JavaScript,76,SawyerHood/sawyer-mart,2,69,4,,
JavaScript,77,ServiceStack/llms,2,575,24,,
JavaScript,78,aikarjal/wilmai,2,19,3,,
JavaScript,79,dialpad/dialtone,2,14,6,,
JavaScript,80,flutter-it/get_it,2,1451,156,,
JavaScript,81,leeguooooo/Mailbox,2,36,5,,
JavaScript,82,madebyaris/advance-minimax-m2-cursor-rules,2,57,5,,
JavaScript,83,maorfsdev/reflect-yourself,2,17,0,,
JavaScript,84,navidrome/website,2,32,149,,
JavaScript,85,nicobailon/surf-cli,2,272,23,,
JavaScript,86,optave/codegraph,2,12,1,,
JavaScript,87,robinebers/openusage,2,1033,87,,
JavaScript,88,yuch85/superdoc-redlines,2,17,4,,
JavaScript,89,zhukunpenglinyutong/ai-max,2,172,14,,
JavaScript,90,AhmedElTabarani/hadith-checker-extension,1,65,6,,
JavaScript,91,AzureCosmosDB/cosmosdb-agent-kit,1,21,5,,
JavaScript,92,CatKang/catkang.github.io,1,26,11,,
JavaScript,93,Claudate/project-multilevel-index,1,92,4,,
JavaScript,94,EvoMap/evolver,1,630,85,,
JavaScript,95,Hulupeep/Specflow,1,22,4,,
JavaScript,96,JarvusInnovations/hologit,1,20,2,,
JavaScript,97,McShelby/hugo-theme-relearn,1,585,233,,
JavaScript,98,PaulRBerg/cryptfolio-scripts,1,24,2,,
JavaScript,99,Red-Hat-AI-Innovation-Team/sdg_hub,1,112,50,,
JavaScript,100,SoFriendly/orca,1,44,3,,
PHP,1,AuroraWebSoftware/AAuth,21,41,7,,
PHP,2,coollabsio/coolify,15,51056,3684,,
PHP,3,bnomei/kirby-mcp,15,36,1,,
PHP,4,Automattic/wordpress-activitypub,14,561,85,,
PHP,5,JaguarJack/catch-admin,10,889,137,,
PHP,6,unopim/unopim,7,9113,117,,
PHP,7,daveroverts/bmac,6,11,13,,
PHP,8,laravel/boost,6,3291,274,,
PHP,9,vizra-ai/vizra-adk,5,286,32,,
PHP,10,hotwired-laravel/turbo-laravel,5,837,53,,
PHP,11,MohmmedAshraf/laravel-translations,4,799,116,,
PHP,12,spatie/freek.dev,4,642,156,,
PHP,13,TypiCMS/Base,3,1599,494,,
PHP,14,Chemaclass/unspent,3,14,0,,
PHP,15,KeygraphHQ/xbow-validation-benchmarks,3,19,4,,
PHP,16,raphaelstolt/lean-package-validator,3,15,7,,
PHP,17,ludoguenet/laravel-zap,3,1407,100,,
PHP,18,livewire/livewire,3,23448,1726,,
PHP,19,shopperlabs/shopper,3,1064,166,,
PHP,20,herkobi/saas,2,22,0,,
PHP,21,filamentphp/demo,2,1180,550,,
PHP,22,sauce-base/saucebase,2,18,5,,
PHP,23,ploi/roadmap,2,554,114,,
PHP,24,phpstan/phpstan,2,13834,943,,
PHP,25,mglaman/phpstan-drupal,2,207,81,,
PHP,26,tallstackui/tallstackui,2,696,68,,
PHP,27,yamadashy/phpstan-friendly-formatter,2,63,5,,
PHP,28,laravel/ai,1,557,118,,
PHP,29,knuckleswtf/scribe,1,2256,358,,
PHP,30,byjg/php-rest-reference-architecture,1,17,6,,
PHP,31,duxweb/dux-lite,1,14,3,,
PHP,32,Soneso/stellar-php-sdk,1,40,19,,
PHP,33,ChurchCRM/CRM,1,818,514,,
PHP,34,jeffersongoncalves/filament-service-desk,1,10,0,,
PHP,35,iurygdeoliveira/labSIS-KIT,1,31,15,,
PHP,36,foxbytehq/laravel-inertia-dataproviders,1,25,1,,
PHP,37,glhd/aire,1,544,40,,
PHP,38,ohdearapp/ohdear-cli,1,138,3,,
PHP,39,laravel/fortify,1,1723,329,,
PHP,40,relaticle/flowforge,1,375,42,,
PHP,41,prism-php/prism,1,2306,266,,
PHP,42,open-runtimes/open-runtimes,1,273,69,,
PHP,43,phpstan/phpstan-src,1,385,553,,
PHP,44,laravel/socialite,1,5735,958,,
PHP,45,laravel/pennant,1,568,62,,
PHP,46,scify/laravel-cookie-guard,1,136,4,,
PHP,47,spatie/laravel-backup,1,5944,794,,
PHP,48,spatie/laravel-permission,1,12838,1824,,
PHP,49,spatie/laravel-pdf,1,971,85,,
PHP,50,spatie/laravel-og-image,1,11,0,,
PHP,51,spatie/laravel-medialibrary,1,6094,1101,,
PHP,52,spatie/laravel-screenshot,1,73,3,,
PHP,53,spatie/laravel-responsecache,1,2758,241,,
PHP,54,spatie/laravel-ray,1,316,72,,
PHP,55,viames/pair,1,10,2,,
Python,1,hainamchung/agent-assistant,388,26,11,,
Python,2,DNYoussef/context-cascade,252,20,6,,
Python,3,gtmagents/gtm-agents,244,88,13,,
Python,4,malue-ai/dazee-small,174,23,0,,
Python,5,wshobson/agents,146,29356,3213,,
Python,6,openakita/openakita,142,720,75,,
Python,7,SimHacker/moollm,127,30,4,,
Python,8,giuseppe-trisciuoglio/developer-kit,110,113,8,,
Python,9,kagenti/kagenti,100,72,44,,
Python,10,existential-birds/beagle,87,27,4,,
Python,11,openshift-eng/ai-helpers,84,41,207,,
Python,12,ancoleman/ai-design-components,76,290,44,,
Python,13,williamzujkowski/standards,67,12,0,,
Python,14,proffesor-for-testing/sentinel-api-testing,65,34,8,,
Python,15,matteocervelli/llms,64,19,2,,
Python,16,alishangtian/proteus-ai,62,11,7,,
Python,17,johnson7788/BusinessBot,60,43,6,,
Python,18,adelpro/quran-search-engine,51,12,20,,
Python,19,soimy/atlasify,51,35,5,,
Python,20,trohitg/MachinaOS,48,10,1,,
Python,21,OpenHands/extensions,47,58,13,,
Python,22,leandrosilvaferreira/gitai,47,35,3,,
Python,23,xenitV1/Antigravity-Workflows,46,121,21,,
Python,24,thapaliyabikendra/ai-artifacts,44,11,3,,
Python,25,mikeOnBreeze/cc-crossbeam,43,67,25,,
Python,26,Ibrahim-3d/conductor-orchestrator-superpowers,42,230,24,,
Python,27,Fu-Jie/openwebui-extensions,39,79,7,,
Python,28,Kilo-Org/kilo-marketplace,38,37,11,,
Python,29,jpoley/flowspec,37,12,1,,
Python,30,j5ik2o/okite-ai,36,38,2,,
Python,31,kivo360/OmoiOS,35,26,1,,
Python,32,lhl/realitycheck,35,10,0,,
Python,33,Hidden-History/ai-memory,34,21,4,,
Python,34,kasperjunge/agent-resources,34,403,30,,
Python,35,prowler-cloud/prowler,34,13099,2011,,
Python,36,sfc-gh-dflippo/snowflake-dbt-demo,34,28,8,,
Python,37,aitytech/agentkits-marketing,32,310,33,,
Python,38,yazelin/ching-tech-os,32,19,7,,
Python,39,huangrt01/CS-Notes,31,3944,484,,
Python,40,2025Emma/vibe-coding-cn,30,12670,1407,,
Python,41,Abilityai/cornelius,30,64,18,,
Python,42,definableai/definable.ai,30,12,2,,
Python,43,jd-opensource/JoySafeter,30,136,22,,
Python,44,vstorm-co/pydantic-deepagents,30,347,36,,
Python,45,kv0906/pm-kit,29,45,11,,
Python,46,sammcj/agentic-coding,29,95,16,,
Python,47,deepeshBodh/human-in-loop,27,21,1,,
Python,48,dsifry/goodtogo,27,43,2,,
Python,49,emanueleielo/ciana-parrot,27,58,9,,
Python,50,yezannnnn/agentGroup,27,31,3,,
Python,51,Haaaiawd/Antigravity-Workflow-System,26,82,11,,
Python,52,manusco/resonance,26,33,6,,
Python,53,rand/cc-polymath,26,74,5,,
Python,54,rohitg00/kubectl-mcp-server,26,837,167,,
Python,55,sddevelopment-be/quickstart_agent-augmented-development,26,13,3,,
Python,56,TheCraigHewitt/seomachine,25,352,99,,
Python,57,davidabeyer/formaltask,25,13,1,,
Python,58,VioletCranberry/coco-search,24,12,0,,
