rank,references_file_count,repo,mainLanguage,stars,forks,commits,contributors
329,9,jzero-io/jzero,Go,174,16,1579.0,11.0
330,9,kapishdima/soundcn,TypeScript,409,15,98.0,4.0
331,9,loonghao/vx,Rust,19,2,1188.0,5.0
332,9,mercurjs/mercur,TypeScript,1423,321,682.0,26.0
333,9,micronaut-projects/micronaut-cache,Java,30,35,1758.0,64.0
334,9,micronaut-projects/micronaut-graphql,Java,86,46,733.0,30.0
335,9,micronaut-projects/micronaut-jaxrs,Java,11,9,656.0,30.0
336,9,micronaut-projects/micronaut-kubernetes,Java,48,31,1117.0,37.0
337,9,micronaut-projects/micronaut-liquibase,Java,27,10,906.0,21.0
338,9,micronaut-projects/micronaut-micrometer,Java,41,68,1566.0,68.0
339,9,micronaut-projects/micronaut-nats,Java,17,10,719.0,23.0
340,9,micronaut-projects/micronaut-neo4j,Java,12,5,716.0,22.0
341,9,micronaut-projects/micronaut-object-storage,Java,11,8,682.0,22.0
342,9,micronaut-projects/micronaut-openapi,Java,110,116,2934.0,87.0
343,9,micronaut-projects/micronaut-platform,Java,30,15,2902.0,27.0
344,9,micronaut-projects/micronaut-problem-json,Java,12,9,531.0,18.0
345,9,micronaut-projects/micronaut-pulsar,Java,18,10,685.0,22.0
346,9,micronaut-projects/micronaut-r2dbc,Java,30,10,741.0,20.0
347,9,micronaut-projects/micronaut-rabbitmq,Java,21,20,766.0,31.0
348,9,micronaut-projects/micronaut-reactor,Java,17,9,684.0,21.0
349,9,micronaut-projects/micronaut-security,Java,178,143,5098.0,169.0
350,9,micronaut-projects/micronaut-serialization,Java,33,23,1275.0,30.0
351,9,micronaut-projects/micronaut-sourcegen,Java,14,7,504.0,15.0
352,9,micronaut-projects/micronaut-sql,Java,80,52,2404.0,66.0
353,9,micronaut-projects/micronaut-test,Java,94,66,1441.0,58.0
354,9,micronaut-projects/micronaut-views,Java,34,37,1226.0,41.0
355,9,microsoft/PowerAppsCodeApps,TypeScript,341,97,278.0,20.0
356,9,microsoft/playwright,TypeScript,84246,5288,16383.0,714.0
357,9,oekazuma/svelte-meta-tags,TypeScript,653,26,3189.0,18.0
358,9,pymc-labs/pymc-marketing,Python,1088,370,1265.0,86.0
359,9,shinnytech/tqsdk-python,Python,4553,738,921.0,19.0
