rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors,html_url
32,Fu-Jie/openwebui-extensions,117,Python,112,9,802.0,6.0,https://github.com/Fu-Jie/openwebui-extensions
33,jpoley/flowspec,111,Python,12,1,1444.0,6.0,https://github.com/jpoley/flowspec
34,humansys/raise,108,Python,43,3,2.0,1.0,https://github.com/humansys/raise
35,thapaliyabikendra/ai-artifacts,108,Python,15,4,41.0,5.0,https://github.com/thapaliyabikendra/ai-artifacts
36,Hidden-History/ai-memory,105,Python,24,4,325.0,3.0,https://github.com/Hidden-History/ai-memory
37,kivo360/OmoiOS,105,Python,37,4,701.0,5.0,https://github.com/kivo360/OmoiOS
38,lhl/realitycheck,105,Python,17,0,183.0,1.0,https://github.com/lhl/realitycheck
39,adelpro/quran-search-engine,102,Python,19,37,26.0,1.0,https://github.com/adelpro/quran-search-engine
40,soimy/atlasify,102,Python,35,5,103.0,3.0,https://github.com/soimy/atlasify
41,yazelin/ching-tech-os,102,Python,22,8,639.0,4.0,https://github.com/yazelin/ching-tech-os
42,EthanAlgoX/MarketBot,100,Python,55,9,322.0,1.0,https://github.com/EthanAlgoX/MarketBot
43,OpenHands/extensions,98,Python,72,15,101.0,11.0,https://github.com/OpenHands/extensions
44,jonathan-vella/azure-agentic-infraops-accelerator,98,Python,16,16,24.0,4.0,https://github.com/jonathan-vella/azure-agentic-infraops-accelerator
45,trohitg/MachinaOS,96,Python,18,3,199.0,1.0,https://github.com/trohitg/MachinaOS
46,jonathan-vella/azure-agentic-infraops,94,Python,164,61,492.0,6.0,https://github.com/jonathan-vella/azure-agentic-infraops
47,leandrosilvaferreira/gitai,94,Python,36,2,73.0,2.0,https://github.com/leandrosilvaferreira/gitai
48,doodledood/manifest-dev,93,Python,60,7,112.0,3.0,https://github.com/doodledood/manifest-dev
49,huangrt01/CS-Notes,93,Python,3947,484,819.0,4.0,https://github.com/huangrt01/CS-Notes
50,xenitV1/Antigravity-Workflows,92,Python,129,21,23.0,3.0,https://github.com/xenitV1/Antigravity-Workflows
51,2025Emma/vibe-coding-cn,90,Python,14463,1594,130.0,2.0,https://github.com/2025Emma/vibe-coding-cn
52,definableai/definable.ai,90,Python,20,2,177.0,2.0,https://github.com/definableai/definable.ai
53,vstorm-co/pydantic-deepagents,90,Python,452,47,142.0,7.0,https://github.com/vstorm-co/pydantic-deepagents
54,Ibrahim-3d/conductor-orchestrator-superpowers,84,Python,275,30,18.0,1.0,https://github.com/Ibrahim-3d/conductor-orchestrator-superpowers
55,tobihagemann/turbo,84,Python,22,1,60.0,1.0,https://github.com/tobihagemann/turbo
56,yezannnnn/agentGroup,81,Python,53,17,13.0,1.0,https://github.com/yezannnnn/agentGroup
57,Kilo-Org/kilo-marketplace,76,Python,53,16,211.0,31.0,https://github.com/Kilo-Org/kilo-marketplace
58,davidabeyer/formaltask,75,Python,13,1,25.0,1.0,https://github.com/davidabeyer/formaltask
59,VioletCranberry/coco-search,72,Python,18,3,1024.0,3.0,https://github.com/VioletCranberry/coco-search
60,prowler-cloud/prowler,72,Python,13314,2040,7879.0,367.0,https://github.com/prowler-cloud/prowler
61,dp-archive/archive,68,Python,1111,97,195.0,2.0,https://github.com/dp-archive/archive
62,sammcj/agentic-coding,68,Python,108,18,370.0,3.0,https://github.com/sammcj/agentic-coding
63,sfc-gh-dflippo/snowflake-dbt-demo,68,Python,31,8,301.0,2.0,https://github.com/sfc-gh-dflippo/snowflake-dbt-demo
64,cnoe-io/ai-platform-engineering,66,Python,324,47,3223.0,29.0,https://github.com/cnoe-io/ai-platform-engineering
65,jd-opensource/JoySafeter,66,Python,176,35,219.0,5.0,https://github.com/jd-opensource/JoySafeter
66,aitytech/agentkits-marketing,64,Python,374,44,69.0,4.0,https://github.com/aitytech/agentkits-marketing
67,kv0906/pm-kit,64,Python,68,16,102.0,1.0,https://github.com/kv0906/pm-kit
68,deepeshBodh/human-in-loop,62,Python,24,1,223.0,1.0,https://github.com/deepeshBodh/human-in-loop
69,Abilityai/cornelius,60,Python,74,20,19.0,1.0,https://github.com/Abilityai/cornelius
70,krzysztofsurdy/code-virtuoso,60,Python,13,0,198.0,3.0,https://github.com/krzysztofsurdy/code-virtuoso
71,snyk/agent-scan,60,Python,1873,186,376.0,11.0,https://github.com/snyk/agent-scan
72,intertwine/hive-orchestrator,57,Python,14,2,316.0,6.0,https://github.com/intertwine/hive-orchestrator
73,dsifry/goodtogo,54,Python,53,3,61.0,1.0,https://github.com/dsifry/goodtogo
74,emanueleielo/ciana-parrot,54,Python,66,12,70.0,3.0,https://github.com/emanueleielo/ciana-parrot
75,gqy20/IssueLab,54,Python,10,6,438.0,7.0,https://github.com/gqy20/IssueLab
76,krafton-ai/KIRA,54,Python,712,97,121.0,9.0,https://github.com/krafton-ai/KIRA
77,manusco/resonance,52,Python,34,6,54.0,2.0,https://github.com/manusco/resonance
78,rand/cc-polymath,52,Python,80,5,158.0,2.0,https://github.com/rand/cc-polymath
79,rohitg00/kubectl-mcp-server,52,Python,849,166,127.0,7.0,https://github.com/rohitg00/kubectl-mcp-server
80,sddevelopment-be/quickstart_agent-augmented-development,52,Python,13,3,824.0,2.0,https://github.com/sddevelopment-be/quickstart_agent-augmented-development
81,winstonkoh87/Athena-Public,52,Python,430,57,485.0,3.0,https://github.com/winstonkoh87/Athena-Public
82,canonical/copilot-collections,51,Python,16,9,56.0,10.0,https://github.com/canonical/copilot-collections
83,kayba-ai/agentic-context-engine,51,Python,1987,253,753.0,28.0,https://github.com/kayba-ai/agentic-context-engine
84,TheCraigHewitt/seomachine,50,Python,2702,433,15.0,1.0,https://github.com/TheCraigHewitt/seomachine
85,norahe0304-art/30x-seo,50,Python,11,5,25.0,1.0,https://github.com/norahe0304-art/30x-seo
86,WayfinderFoundation/wayfinder-paths-sdk,48,Python,14,4,103.0,8.0,https://github.com/WayfinderFoundation/wayfinder-paths-sdk
87,ZimoLiao/scholaraio,48,Python,144,17,132.0,2.0,https://github.com/ZimoLiao/scholaraio
88,aws-samples/sample-strands-agent-with-agentcore,48,Python,111,39,197.0,9.0,https://github.com/aws-samples/sample-strands-agent-with-agentcore
89,hannesill/m4,48,Python,23,10,378.0,11.0,https://github.com/hannesill/m4
90,indexedlabs/pydantic-ai-gepa,48,Python,25,5,233.0,2.0,https://github.com/indexedlabs/pydantic-ai-gepa
91,kazukinagata/shinkoku,48,Python,308,29,157.0,2.0,https://github.com/kazukinagata/shinkoku
92,thinking-machines-lab/tinker-cookbook,48,Python,2939,349,274.0,55.0,https://github.com/thinking-machines-lab/tinker-cookbook
93,dagster-io/erk,46,Python,74,7,4089.0,4.0,https://github.com/dagster-io/erk
94,ginlix-ai/LangAlpha,46,Python,52,7,699.0,7.0,https://github.com/ginlix-ai/LangAlpha
95,mehdic/bazinga,44,Python,19,0,566.0,3.0,https://github.com/mehdic/bazinga
96,okwinds/miscellany,44,Python,39,2,50.0,3.0,https://github.com/okwinds/miscellany
97,OthmanAdi/planning-with-files,42,Python,16064,1476,155.0,22.0,https://github.com/OthmanAdi/planning-with-files
98,astronomer/agents,42,Python,281,27,228.0,14.0,https://github.com/astronomer/agents
99,atopile/atopile,42,Python,3104,171,2843.0,41.0,https://github.com/atopile/atopile
100,dlt-hub/dlt,42,Python,5044,469,4177.0,172.0,https://github.com/dlt-hub/dlt
