rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors,html_url
34,existential-birds/beagle,282,Python,38,5,83.0,2.0,https://github.com/existential-birds/beagle
35,sunflowermm/XRK-AGT,270,JavaScript,88,6,619.0,1.0,https://github.com/sunflowermm/XRK-AGT
36,OzeroHAX/AssistAgents,258,TypeScript,29,4,12.0,2.0,https://github.com/OzeroHAX/AssistAgents
37,SimHacker/moollm,254,Python,34,4,2287.0,3.0,https://github.com/SimHacker/moollm
38,Community-Access/accessibility-agents,252,JavaScript,186,18,217.0,8.0,https://github.com/Community-Access/accessibility-agents
39,alsk1992/CloddsBot,242,TypeScript,61,18,390.0,3.0,https://github.com/alsk1992/CloddsBot
40,rp1-run/rp1,231,TypeScript,11,3,215.0,4.0,https://github.com/rp1-run/rp1
41,nahisaho/MUSUBIX,228,TypeScript,11,2,208.0,1.0,https://github.com/nahisaho/MUSUBIX
42,Flexasaurusrex/OpenPaw,225,TypeScript,12,0,14274.0,800.0,https://github.com/Flexasaurusrex/OpenPaw
43,charlietlamb/ferix,225,TypeScript,10,0,238.0,2.0,https://github.com/charlietlamb/ferix
44,LerianStudio/ring,222,Python,135,15,1834.0,16.0,https://github.com/LerianStudio/ring
45,Goldziher/spikard,216,Rust,101,4,1714.0,3.0,https://github.com/Goldziher/spikard
46,gvkhosla/compound-engineering-pi,210,TypeScript,35,2,18.0,1.0,https://github.com/gvkhosla/compound-engineering-pi
47,kagenti/kagenti,208,Python,110,59,2395.0,45.0,https://github.com/kagenti/kagenti
48,xuiltul/animaworks,207,Python,161,22,1944.0,11.0,https://github.com/xuiltul/animaworks
49,Kastalien-Research/thoughtbox,204,TypeScript,49,11,418.0,8.0,https://github.com/Kastalien-Research/thoughtbox
50,elizaOS/eliza,200,TypeScript,17797,5452,17562.0,652.0,https://github.com/elizaOS/eliza
51,DavidROliverBA/ArchitectKB,196,JavaScript,16,5,103.0,2.0,https://github.com/DavidROliverBA/ArchitectKB
52,matteocervelli/llms,192,Python,20,2,26.0,1.0,https://github.com/matteocervelli/llms
53,googleworkspace/cli,186,Rust,20319,926,216.0,36.0,https://github.com/googleworkspace/cli
54,rokibulroni/WiFiDensePose,186,Rust,13,8,214.0,7.0,https://github.com/rokibulroni/WiFiDensePose
55,openshift-eng/ai-helpers,172,Python,52,214,836.0,88.0,https://github.com/openshift-eng/ai-helpers
56,adoresever/AGI_Ananas,170,TypeScript,148,21,37.0,4.0,https://github.com/adoresever/AGI_Ananas
57,outfitter-dev/agents,168,TypeScript,25,0,107.0,2.0,https://github.com/outfitter-dev/agents
58,Hack23/cia,158,Java,213,53,17026.0,25.0,https://github.com/Hack23/cia
59,cwinvestments/memstack,154,Python,45,3,120.0,1.0,https://github.com/cwinvestments/memstack
60,ancoleman/ai-design-components,152,Python,310,48,81.0,2.0,https://github.com/ancoleman/ai-design-components
61,ShunsukeHayashi/Miyabi,150,TypeScript,16,8,338.0,6.0,https://github.com/ShunsukeHayashi/Miyabi
62,loonghao/auroraview,147,Rust,28,4,886.0,4.0,https://github.com/loonghao/auroraview
63,Larusso/unity-version-manager,138,Rust,41,9,462.0,4.0,https://github.com/Larusso/unity-version-manager
64,PackmindHub/packmind,138,TypeScript,243,12,2594.0,11.0,https://github.com/PackmindHub/packmind
65,TencentCloudBase/CloudBase-MCP,138,TypeScript,973,121,930.0,11.0,https://github.com/TencentCloudBase/CloudBase-MCP
66,pr-pm/prpm,138,TypeScript,98,11,807.0,3.0,https://github.com/pr-pm/prpm
67,GovTechSG/sgds-web-component,136,TypeScript,12,5,3303.0,18.0,https://github.com/GovTechSG/sgds-web-component
68,ReinaMacCredy/maestro,136,TypeScript,23,3,562.0,3.0,https://github.com/ReinaMacCredy/maestro
69,kaivyy/kabot,136,Python,21,6,343.0,4.0,https://github.com/kaivyy/kabot
70,pacphi/sindri,135,Rust,11,6,386.0,3.0,https://github.com/pacphi/sindri
71,rfdiosuao/openfang-cn,134,Rust,22,4,2.0,1.0,https://github.com/rfdiosuao/openfang-cn
72,williamzujkowski/standards,134,Python,13,0,176.0,2.0,https://github.com/williamzujkowski/standards
73,bytedance/agentkit-samples,132,Python,247,46,453.0,28.0,https://github.com/bytedance/agentkit-samples
74,causify-ai/helpers,132,Python,142,130,851.0,29.0,https://github.com/causify-ai/helpers
75,davidlee/spec-driver,132,Python,15,2,785.0,2.0,https://github.com/davidlee/spec-driver
76,daffy0208/ai-dev-standards,130,TypeScript,20,6,189.0,2.0,https://github.com/daffy0208/ai-dev-standards
77,proffesor-for-testing/sentinel-api-testing,130,Python,36,9,144.0,2.0,https://github.com/proffesor-for-testing/sentinel-api-testing
78,mikeOnBreeze/cc-crossbeam,129,Python,145,53,69.0,1.0,https://github.com/mikeOnBreeze/cc-crossbeam
79,Heyvhuang/ship-faster,126,TypeScript,319,54,81.0,3.0,https://github.com/Heyvhuang/ship-faster
80,pbakaus/impeccable,126,JavaScript,8226,320,149.0,7.0,https://github.com/pbakaus/impeccable
81,vasilyu1983/AI-Agents-public,124,Python,41,9,26.0,1.0,https://github.com/vasilyu1983/AI-Agents-public
82,agent-sh/agnix,123,Rust,95,11,731.0,6.0,https://github.com/agent-sh/agnix
83,NJX-njx/opensoul,122,TypeScript,42,5,189.0,7.0,https://github.com/NJX-njx/opensoul
84,openaeon/OpenAEON,122,TypeScript,14,1,15.0,1.0,https://github.com/openaeon/OpenAEON
85,j5ik2o/okite-ai,120,Python,73,2,248.0,2.0,https://github.com/j5ik2o/okite-ai
86,smallnest/langgraphgo,120,Go,209,34,328.0,10.0,https://github.com/smallnest/langgraphgo
87,AIDotNet/MoYuCode,118,TypeScript,74,15,62.0,1.0,https://github.com/AIDotNet/MoYuCode
88,Fu-Jie/openwebui-extensions,117,Python,112,9,802.0,6.0,https://github.com/Fu-Jie/openwebui-extensions
89,s-hiraoku/vscode-sidebar-terminal,117,TypeScript,12,7,1657.0,6.0,https://github.com/s-hiraoku/vscode-sidebar-terminal
90,Nethereum/Nethereum,116,C#,2244,743,2539.0,101.0,https://github.com/Nethereum/Nethereum
91,Rune-kit/rune,116,JavaScript,35,12,6.0,1.0,https://github.com/Rune-kit/rune
92,mangiapanejohn-dev/Resonix-AG,112,TypeScript,26,0,12909.0,749.0,https://github.com/mangiapanejohn-dev/Resonix-AG
93,sd0xdev/sd0x-dev-flow,112,JavaScript,86,12,174.0,1.0,https://github.com/sd0xdev/sd0x-dev-flow
94,jpoley/flowspec,111,Python,12,1,1444.0,6.0,https://github.com/jpoley/flowspec
95,mikeyobrien/rho,111,TypeScript,325,25,442.0,4.0,https://github.com/mikeyobrien/rho
96,wukongrobot/wukongbot,110,TypeScript,14,0,14.0,1.0,https://github.com/wukongrobot/wukongbot
97,dr-robert-li/cowork-wordpress-expert,108,JavaScript,19,1,211.0,1.0,https://github.com/dr-robert-li/cowork-wordpress-expert
98,humansys/raise,108,Python,43,3,2.0,1.0,https://github.com/humansys/raise
99,poteto/noodle,108,Go,119,6,1396.0,2.0,https://github.com/poteto/noodle
100,thapaliyabikendra/ai-artifacts,108,Python,15,4,41.0,5.0,https://github.com/thapaliyabikendra/ai-artifacts
