rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors,html_url
34,aallan/vera,1,Python,40,2,434.0,3.0,https://github.com/aallan/vera
35,adityamparikh/maven-to-gradle,1,Python,11,1,9.0,1.0,https://github.com/adityamparikh/maven-to-gradle
36,anjor/pltr-cli,1,Python,16,3,222.0,3.0,https://github.com/anjor/pltr-cli
37,arjunkmrm/recall,1,Python,110,7,24.0,2.0,https://github.com/arjunkmrm/recall
38,assafelovic/gpt-researcher,1,Python,25735,3421,2912.0,234.0,https://github.com/assafelovic/gpt-researcher
39,bendlikeabamboo/barangay,1,Python,17,5,105.0,1.0,https://github.com/bendlikeabamboo/barangay
40,bowenliang123/markdown-exporter,1,Python,190,49,605.0,6.0,https://github.com/bowenliang123/markdown-exporter
41,cathrynlavery/repo-atlas,1,Python,19,2,3.0,1.0,https://github.com/cathrynlavery/repo-atlas
42,crazyguitar/pysheeet,1,Python,8149,1222,1589.0,47.0,https://github.com/crazyguitar/pysheeet
43,creatify-ai/ad-creative-evaluator,1,Python,19,0,3.0,1.0,https://github.com/creatify-ai/ad-creative-evaluator
44,creatify-ai/video-ad-reverse-engineer,1,Python,20,0,2.0,1.0,https://github.com/creatify-ai/video-ad-reverse-engineer
45,danyuchn/fire-planner,1,Python,10,1,2.0,1.0,https://github.com/danyuchn/fire-planner
46,daya0576/beaverhabits,1,Python,1704,66,554.0,11.0,https://github.com/daya0576/beaverhabits
47,definite-app/ultraplan,1,Python,24,0,7.0,1.0,https://github.com/definite-app/ultraplan
48,draco-agent/tech-news-digest,1,Python,36,8,201.0,2.0,https://github.com/draco-agent/tech-news-digest
49,droidrun/droidrun,1,Python,7945,805,999.0,30.0,https://github.com/droidrun/droidrun
50,ds1sqe/type-bridge,1,Python,18,4,416.0,3.0,https://github.com/ds1sqe/type-bridge
51,dwzhu-pku/PaperBanana,1,Python,5100,337,28.0,8.0,https://github.com/dwzhu-pku/PaperBanana
52,fastapi/fastapi,1,Python,96206,8859,6922.0,891.0,https://github.com/fastapi/fastapi
53,fr33d3m0n/threat-modeling,1,Python,200,25,19.0,1.0,https://github.com/fr33d3m0n/threat-modeling
54,hah23255/adb-android-control,1,Python,79,8,8.0,1.0,https://github.com/hah23255/adb-android-control
55,heavy3-ai/code-audit,1,Python,41,14,16.0,1.0,https://github.com/heavy3-ai/code-audit
56,heleninsights-dot/phd-deepread-workflow,1,Python,11,0,13.0,1.0,https://github.com/heleninsights-dot/phd-deepread-workflow
57,imsatoshi/GeneTrader,1,Python,177,57,234.0,4.0,https://github.com/imsatoshi/GeneTrader
58,jackwener/bilibili-cli,1,Python,455,47,81.0,3.0,https://github.com/jackwener/bilibili-cli
59,jackwener/discord-cli,1,Python,55,9,40.0,1.0,https://github.com/jackwener/discord-cli
60,jackwener/tg-cli,1,Python,162,16,45.0,1.0,https://github.com/jackwener/tg-cli
61,jackwener/twitter-cli,1,Python,1854,157,114.0,4.0,https://github.com/jackwener/twitter-cli
62,jackwener/xhs-cli,1,Python,362,34,57.0,1.0,https://github.com/jackwener/xhs-cli
63,jacob-bd/notebooklm-cli,1,Python,146,19,53.0,1.0,https://github.com/jacob-bd/notebooklm-cli
64,jkitchin/litdb,1,Python,74,9,330.0,4.0,https://github.com/jkitchin/litdb
65,joeseesun/anything-to-notebooklm,1,Python,539,71,7.0,1.0,https://github.com/joeseesun/anything-to-notebooklm
66,joeseesun/qiaomu-mondo-poster-design,1,Python,460,42,7.0,1.0,https://github.com/joeseesun/qiaomu-mondo-poster-design
67,joyehuang/minimind-notes,1,Python,67,8,166.0,3.0,https://github.com/joyehuang/minimind-notes
68,jzOcb/context-doctor,1,Python,103,3,3.0,1.0,https://github.com/jzOcb/context-doctor
69,kalibr-ai/kalibr-sdk-python,1,Python,24,2,80.0,3.0,https://github.com/kalibr-ai/kalibr-sdk-python
70,kerim/zotero-code-execution,1,Python,39,3,7.0,1.0,https://github.com/kerim/zotero-code-execution
71,kortix-ai/lss,1,Python,11,2,32.0,2.0,https://github.com/kortix-ai/lss
72,luispedro/jug,1,Python,460,62,1005.0,21.0,https://github.com/luispedro/jug
73,magicseek/nblm,1,Python,25,2,152.0,3.0,https://github.com/magicseek/nblm
74,mathiaschu/google-ads-analyzer,1,Python,35,11,3.0,1.0,https://github.com/mathiaschu/google-ads-analyzer
75,mattzzz/rick-voice,1,Python,14,0,5.0,1.0,https://github.com/mattzzz/rick-voice
76,mitkox/megacode,1,Python,74,18,2.0,1.0,https://github.com/mitkox/megacode
77,neurodatascience/dFC,1,Python,31,8,469.0,5.0,https://github.com/neurodatascience/dFC
78,ninja7v/TopoptComec,1,Python,11,1,158.0,1.0,https://github.com/ninja7v/TopoptComec
79,notoriouslab/doc-cleaner,1,Python,106,15,7.0,3.0,https://github.com/notoriouslab/doc-cleaner
80,patrickfreyer/apple-mail-mcp,1,Python,47,18,50.0,3.0,https://github.com/patrickfreyer/apple-mail-mcp
81,peteromallet/desloppify,1,Python,2345,134,739.0,13.0,https://github.com/peteromallet/desloppify
82,richkuo/go-trader,1,Python,58,18,179.0,5.0,https://github.com/richkuo/go-trader
83,robtaylor/excalidraw-diagrams,1,Python,20,3,37.0,1.0,https://github.com/robtaylor/excalidraw-diagrams
84,rokoss21/swarm-iosm,1,Python,33,4,12.0,2.0,https://github.com/rokoss21/swarm-iosm
85,saxenauts/syke,1,Python,13,1,226.0,1.0,https://github.com/saxenauts/syke
86,sem-technology/gtm-copilot,1,Python,19,1,20.0,2.0,https://github.com/sem-technology/gtm-copilot
87,seojoonkim/prompt-guard,1,Python,125,23,74.0,9.0,https://github.com/seojoonkim/prompt-guard
88,seolcoding/nonstop-agent,1,Python,11,2,16.0,1.0,https://github.com/seolcoding/nonstop-agent
89,shaniidev/bug-reaper,1,Python,23,4,7.0,1.0,https://github.com/shaniidev/bug-reaper
90,sivulich/mqttasgi,1,Python,40,16,91.0,9.0,https://github.com/sivulich/mqttasgi
91,sodadata/messydata,1,Python,23,1,31.0,1.0,https://github.com/sodadata/messydata
92,sosathegitter/WeChat-tweets-counterattacker,1,Python,86,1,9.0,2.0,https://github.com/sosathegitter/WeChat-tweets-counterattacker
93,strangeadvancedmarketing/Adam,1,Python,31,5,81.0,3.0,https://github.com/strangeadvancedmarketing/Adam
94,teng-lin/notebooklm-py,1,Python,5690,702,567.0,11.0,https://github.com/teng-lin/notebooklm-py
95,timf34/arxiv2md,1,Python,111,9,76.0,3.0,https://github.com/timf34/arxiv2md
96,trsoliu/mini-wiki,1,Python,46,1,29.0,1.0,https://github.com/trsoliu/mini-wiki
97,ubermenchh/anki-cli,1,Python,18,2,34.0,2.0,https://github.com/ubermenchh/anki-cli
98,udaybandaru/code-archaeologist,1,Python,10,0,2.0,1.0,https://github.com/udaybandaru/code-archaeologist
99,vibeforge1111/vibeship-spark-intelligence,1,Python,114,31,984.0,7.0,https://github.com/vibeforge1111/vibeship-spark-intelligence
100,vnxfsc/solana-bpf-reverse,1,Python,17,29,3.0,1.0,https://github.com/vnxfsc/solana-bpf-reverse
