rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors,html_url
18,EisonMe/newspaper-brief,1,Python,37,4,6.0,1.0,https://github.com/EisonMe/newspaper-brief
19,EmZod/Speak-Turbo,1,Python,16,1,32.0,1.0,https://github.com/EmZod/Speak-Turbo
20,Evan-XYZ/YMOS,1,Python,49,9,18.0,1.0,https://github.com/Evan-XYZ/YMOS
21,EvoMap/evolver,1,JavaScript,1546,173,229.0,7.0,https://github.com/EvoMap/evolver
22,GuDaStudio/collaborating-with-codex,1,Python,120,11,5.0,2.0,https://github.com/GuDaStudio/collaborating-with-codex
23,GuDaStudio/collaborating-with-gemini,1,Python,12,3,6.0,2.0,https://github.com/GuDaStudio/collaborating-with-gemini
24,Helweg/opencode-codebase-index,1,TypeScript,18,4,145.0,3.0,https://github.com/Helweg/opencode-codebase-index
25,Higangssh/ghostmeet,1,Python,12,0,16.0,1.0,https://github.com/Higangssh/ghostmeet
26,Higangssh/homebutler,1,Go,28,6,138.0,4.0,https://github.com/Higangssh/homebutler
27,Hulupeep/Specflow,1,JavaScript,24,4,96.0,2.0,https://github.com/Hulupeep/Specflow
28,Hyaxia/blogwatcher,1,Go,81,14,32.0,1.0,https://github.com/Hyaxia/blogwatcher
29,IanShaw027/wemp-operator,1,JavaScript,54,15,3.0,1.0,https://github.com/IanShaw027/wemp-operator
30,JinHo-von-Choi/memento-mcp,1,JavaScript,74,13,162.0,1.0,https://github.com/JinHo-von-Choi/memento-mcp
31,Jovancoding/Network-AI,1,TypeScript,20,7,224.0,5.0,https://github.com/Jovancoding/Network-AI
32,JustasMonkev/mcp-accessibility-scanner,1,TypeScript,43,11,161.0,4.0,https://github.com/JustasMonkev/mcp-accessibility-scanner
33,Kevin7Qi/codex-collab,1,TypeScript,62,4,60.0,1.0,https://github.com/Kevin7Qi/codex-collab
34,KrauseFx/beeper-cli,1,Go,25,0,5.0,3.0,https://github.com/KrauseFx/beeper-cli
35,LottieFiles/dotlottie-web,1,TypeScript,467,29,424.0,22.0,https://github.com/LottieFiles/dotlottie-web
36,NSHipster/sosumi.ai,1,TypeScript,348,18,39.0,3.0,https://github.com/NSHipster/sosumi.ai
37,Narcooo/inkos,1,TypeScript,528,109,104.0,1.0,https://github.com/Narcooo/inkos
38,Niceck/hhxg-top-hhxg-python,1,Python,17,3,27.0,1.0,https://github.com/Niceck/hhxg-top-hhxg-python
39,NikitaDmitryuk/telegram-media-server,1,Go,16,3,339.0,2.0,https://github.com/NikitaDmitryuk/telegram-media-server
40,NousResearch/pokemon-agent,1,Python,25,4,6.0,1.0,https://github.com/NousResearch/pokemon-agent
41,Nova-Hunting/nova-tracer,1,Python,84,8,27.0,4.0,https://github.com/Nova-Hunting/nova-tracer
42,OrangeViolin/content-pipeline,1,TypeScript,40,7,2.0,1.0,https://github.com/OrangeViolin/content-pipeline
43,Princeton-AI2-Lab/Avenir-Web,1,Python,18,0,22.0,2.0,https://github.com/Princeton-AI2-Lab/Avenir-Web
44,ProximoSrl/Jarvis.Framework,1,C#,16,9,1211.0,7.0,https://github.com/ProximoSrl/Jarvis.Framework
45,Quintui/depresearch,1,TypeScript,21,1,12.0,1.0,https://github.com/Quintui/depresearch
46,Royal-lobster/code-explainer,1,TypeScript,64,6,157.0,1.0,https://github.com/Royal-lobster/code-explainer
47,SGFGOV/medusa-mcp,1,TypeScript,51,18,28.0,2.0,https://github.com/SGFGOV/medusa-mcp
48,SamMorrowDrums/remarkable-mcp,1,Python,75,14,158.0,3.0,https://github.com/SamMorrowDrums/remarkable-mcp
49,Scottcjn/rustchain-mcp,1,Python,12,4,14.0,4.0,https://github.com/Scottcjn/rustchain-mcp
50,Snowflake-Labs/polaris-local-forge,1,Python,16,3,69.0,2.0,https://github.com/Snowflake-Labs/polaris-local-forge
51,Sunwood-ai-labs/SourceSage,1,Python,72,1,558.0,4.0,https://github.com/Sunwood-ai-labs/SourceSage
52,The-Universal-BRC-20-Extension/Simplicity,1,Python,11,4,8.0,2.0,https://github.com/The-Universal-BRC-20-Extension/Simplicity
53,ThirdKeyAI/SchemaPin,1,Python,13,6,104.0,2.0,https://github.com/ThirdKeyAI/SchemaPin
54,ThirdKeyAI/Symbiont,1,Rust,34,7,180.0,4.0,https://github.com/ThirdKeyAI/Symbiont
55,Topdu/OpenOCR,1,Python,1285,111,303.0,19.0,https://github.com/Topdu/OpenOCR
56,Trac-Systems/intercom,1,JavaScript,15,292,91.0,1.0,https://github.com/Trac-Systems/intercom
57,TurixAI/TuriX-CUA,1,Python,1533,166,188.0,4.0,https://github.com/TurixAI/TuriX-CUA
58,VapiAI/mcp-server,1,TypeScript,37,21,39.0,5.0,https://github.com/VapiAI/mcp-server
59,Wolfe-Jam/grok-faf-mcp,1,TypeScript,16,1,77.0,2.0,https://github.com/Wolfe-Jam/grok-faf-mcp
60,Yehonatan-Bar/ClaUI,1,TypeScript,14,1,207.0,1.0,https://github.com/Yehonatan-Bar/ClaUI
61,Zhen-Bo/pragmatic-clean-code-reviewer,1,Python,101,8,4.0,1.0,https://github.com/Zhen-Bo/pragmatic-clean-code-reviewer
62,ZhenHuangLab/collaborating-with-gemini-cli,1,Python,20,3,3.0,1.0,https://github.com/ZhenHuangLab/collaborating-with-gemini-cli
63,ZhuLinsen/daily_stock_analysis,1,Python,20078,20715,412.0,52.0,https://github.com/ZhuLinsen/daily_stock_analysis
64,a-yeyang/AI-researcher,1,Python,92,9,9.0,1.0,https://github.com/a-yeyang/AI-researcher
65,aallan/vera,1,Python,40,2,434.0,3.0,https://github.com/aallan/vera
66,abhi-arya1/wt,1,TypeScript,35,2,33.0,1.0,https://github.com/abhi-arya1/wt
67,abracadabra50/uk-grocery-cli,1,TypeScript,11,3,36.0,4.0,https://github.com/abracadabra50/uk-grocery-cli
68,adityamparikh/maven-to-gradle,1,Python,11,1,9.0,1.0,https://github.com/adityamparikh/maven-to-gradle
69,aloth/olcli,1,JavaScript,18,3,22.0,2.0,https://github.com/aloth/olcli
70,altlimit/restruct,1,Go,15,0,22.0,1.0,https://github.com/altlimit/restruct
71,anjor/pltr-cli,1,Python,16,3,222.0,3.0,https://github.com/anjor/pltr-cli
72,arjunkmrm/recall,1,Python,110,7,24.0,2.0,https://github.com/arjunkmrm/recall
73,assafelovic/gpt-researcher,1,Python,25735,3421,2912.0,234.0,https://github.com/assafelovic/gpt-researcher
74,axiaoge2/Apple-Hig-Designer,1,JavaScript,97,5,41.0,1.0,https://github.com/axiaoge2/Apple-Hig-Designer
75,axiomhq/gilfoyle,1,TypeScript,196,10,175.0,5.0,https://github.com/axiomhq/gilfoyle
76,axtonliu/smart-illustrator,1,TypeScript,407,57,61.0,1.0,https://github.com/axtonliu/smart-illustrator
77,bendlikeabamboo/barangay,1,Python,17,5,105.0,1.0,https://github.com/bendlikeabamboo/barangay
78,better-auth/better-icons,1,TypeScript,593,28,28.0,5.0,https://github.com/better-auth/better-icons
79,blacktop/mcp-tts,1,Go,50,13,114.0,4.0,https://github.com/blacktop/mcp-tts
80,boshu2/gastown-operator,1,Go,18,1,309.0,11.0,https://github.com/boshu2/gastown-operator
81,bowenliang123/markdown-exporter,1,Python,190,49,605.0,6.0,https://github.com/bowenliang123/markdown-exporter
82,brandonwise/humanizer,1,JavaScript,21,1,13.0,3.0,https://github.com/brandonwise/humanizer
83,builderz-labs/mission-control,1,TypeScript,2523,426,235.0,20.0,https://github.com/builderz-labs/mission-control
84,buildoak/agent-mux,1,TypeScript,28,6,28.0,1.0,https://github.com/buildoak/agent-mux
85,buluslan/ecommerce-competitor-analyzer,1,JavaScript,25,7,23.0,1.0,https://github.com/buluslan/ecommerce-competitor-analyzer
86,caol64/wenyan-cli,1,TypeScript,81,13,31.0,2.0,https://github.com/caol64/wenyan-cli
87,cascade-protocol/sati,1,TypeScript,16,1,165.0,1.0,https://github.com/cascade-protocol/sati
88,cathrynlavery/repo-atlas,1,Python,19,2,3.0,1.0,https://github.com/cathrynlavery/repo-atlas
89,code-xhyun/disunday,1,TypeScript,13,0,55.0,1.0,https://github.com/code-xhyun/disunday
90,coinset-org/cli,1,Rust,16,2,56.0,3.0,https://github.com/coinset-org/cli
91,continuedev/next-geo,1,TypeScript,12,0,8.0,1.0,https://github.com/continuedev/next-geo
92,corvuslatimer/horus,1,JavaScript,10,1,54.0,1.0,https://github.com/corvuslatimer/horus
93,crazyguitar/cppcheatsheet,1,C++,259,49,794.0,7.0,https://github.com/crazyguitar/cppcheatsheet
94,crazyguitar/pysheeet,1,Python,8149,1222,1589.0,47.0,https://github.com/crazyguitar/pysheeet
95,creatify-ai/ad-creative-evaluator,1,Python,19,0,3.0,1.0,https://github.com/creatify-ai/ad-creative-evaluator
96,creatify-ai/video-ad-reverse-engineer,1,Python,20,0,2.0,1.0,https://github.com/creatify-ai/video-ad-reverse-engineer
97,crosspoint-reader/crosspoint-reader,1,C,2637,387,598.0,102.0,https://github.com/crosspoint-reader/crosspoint-reader
98,cyberash-dev/tg-mtproto-cli,1,TypeScript,25,0,8.0,1.0,https://github.com/cyberash-dev/tg-mtproto-cli
99,dannote/figma-use,1,TypeScript,495,32,310.0,1.0,https://github.com/dannote/figma-use
100,danyuchn/fire-planner,1,Python,10,1,2.0,1.0,https://github.com/danyuchn/fire-planner
