rank,skill_count,repo,mainLanguage,stars,forks,commits,contributors
132,35,popup-studio-ai/bkit-gemini,JavaScript,39,10,44.0,1.0
133,34,dp-archive/archive,Python,1111,97,195.0,2.0
134,34,howells/arc,TypeScript,14,1,439.0,3.0
135,34,myrtlepn/gran-maestro,TypeScript,17,1,670.0,2.0
136,34,sfc-gh-dflippo/snowflake-dbt-demo,Python,31,8,301.0,2.0
137,34,yazelin/ching-tech-os,Python,22,8,639.0,4.0
138,33,gannonh/kata-orchestrator,JavaScript,105,3,1855.0,2.0
139,33,jd-opensource/JoySafeter,Python,176,35,219.0,5.0
140,32,DGouron/review-flow,TypeScript,27,6,257.0,5.0
141,32,janekbaraniewski/openusage,Go,11,1,69.0,2.0
142,32,kv0906/pm-kit,Python,68,16,102.0,1.0
143,32,taurgis/sfcc-dev-mcp,TypeScript,24,9,531.0,4.0
144,31,RtlZeroMemory/Zireael,C,36,3,114.0,2.0
145,31,deepeshBodh/human-in-loop,Python,24,1,223.0,1.0
146,31,doodledood/manifest-dev,Python,60,7,112.0,3.0
147,31,huangrt01/CS-Notes,Python,3947,484,819.0,4.0
148,30,2025Emma/vibe-coding-cn,Python,14463,1594,130.0,2.0
149,30,Abilityai/cornelius,Python,74,20,19.0,1.0
150,30,ParadeTo/vue-tree-list,TypeScript,686,124,131.0,15.0
151,30,TheSoftwareHouse/copilot-collections,TypeScript,151,4,237.0,16.0
152,30,definableai/definable.ai,Python,20,2,177.0,2.0
153,30,exceptionless/Exceptionless,C#,2453,512,5811.0,36.0
154,30,jaxxstorm/proxyt,Go,102,4,39.0,2.0
155,30,knowns-dev/knowns,TypeScript,124,22,171.0,4.0
156,30,krzysztofsurdy/code-virtuoso,Python,13,0,198.0,3.0
157,30,nansen-ai/nansen-cli,JavaScript,65,4,424.0,22.0
158,30,ruvnet/ruv-FANN,Rust,333,95,317.0,5.0
159,30,vana-com/data-connect,TypeScript,21,3,662.0,10.0
160,30,vfarcic/dot-ai,TypeScript,303,60,1043.0,5.0
161,29,cin12211/orca-q,TypeScript,60,0,382.0,5.0
162,29,co-r-e/dexcode,TypeScript,13,1,57.0,1.0
163,29,eggent-ai/eggent,TypeScript,219,42,36.0,1.0
164,29,javimosch/supercli,JavaScript,13,0,345.0,1.0
165,29,microbus-io/fabric,Go,170,5,429.0,4.0
166,29,oocx/tfplan2md,C#,148,8,2528.0,5.0
167,29,ruvnet/marketing,TypeScript,54,20,17.0,2.0
168,29,seiggy/lucia-dotnet,C#,38,5,214.0,3.0
169,28,Sitecore/content-sdk,TypeScript,32,27,1117.0,19.0
170,28,TanStack/router,TypeScript,13858,1592,5992.0,695.0
171,28,WellApp-ai/Well,TypeScript,315,45,182.0,21.0
172,28,abudhahir/superpowers,JavaScript,11,0,290.0,14.0
173,28,agenticsorg/hackathon-tv5,TypeScript,23,40,39.0,5.0
174,28,driangle/taskmd,Go,10,0,492.0,2.0
175,28,paralleldrive/aidd,JavaScript,292,21,240.0,8.0
176,28,tsparticles/tsparticles,TypeScript,8733,931,14466.0,89.0
177,28,wordflowlab/novelweave,TypeScript,54,18,22.0,2.0
178,27,arabold/docs-mcp-server,TypeScript,1132,131,826.0,10.0
179,27,dsifry/goodtogo,Python,53,3,61.0,1.0
180,27,emanueleielo/ciana-parrot,Python,66,12,70.0,3.0
181,27,growupanand/ConvoForm,TypeScript,102,32,533.0,6.0
182,27,hatch3r/hatch3r,TypeScript,15,0,7.0,2.0
183,27,hhhh124hhhh/godot-mcp,TypeScript,20,2,65.0,3.0
184,27,laborany/laborany,TypeScript,50,4,244.0,5.0
185,27,popup-studio-ai/bkit-codex,JavaScript,11,7,11.0,2.0
186,27,sgcarstrends/sgcarstrends,TypeScript,20,1,3355.0,6.0
187,27,sunholo-data/ailang,Go,22,2,2060.0,6.0
188,27,vedantb2/eva,TypeScript,33,2,1384.0,3.0
189,27,vfarcic/dot-ai-controller,Go,45,6,148.0,3.0
190,26,I-Synergy/I-Synergy.Framework,C#,10,2,1574.0,4.0
191,26,foxminchan/BookWorm,C#,477,62,562.0,7.0
192,26,fpindej/netrock,C#,205,21,340.0,3.0
193,26,manusco/resonance,Python,34,6,54.0,2.0
194,26,oedokumaci/gale-shapley-algorithm,TypeScript,10,2,303.0,3.0
195,26,rand/cc-polymath,Python,80,5,158.0,2.0
196,26,rohitg00/kubectl-mcp-server,Python,849,166,127.0,7.0
197,26,ruvnet/midstream,Rust,89,25,38.0,2.0
198,26,vspo-lab/vspo-portal,TypeScript,21,4,1006.0,8.0
199,26,winstonkoh87/Athena-Public,Python,430,57,485.0,3.0
200,25,PaulJPhilp/EffectPatterns,TypeScript,706,22,1022.0,6.0
201,25,TheCraigHewitt/seomachine,Python,2702,433,15.0,1.0
202,25,abapify/adt-cli,TypeScript,16,1,572.0,5.0
203,25,aehrc/pathling,Java,122,20,6203.0,14.0
204,25,asgarovf/locusai,TypeScript,19,1,922.0,6.0
205,25,davidabeyer/formaltask,Python,13,1,25.0,1.0
206,25,fall-out-bug/sdp,Go,17,0,1089.0,3.0
207,25,fellipeutaka/kanpeki,TypeScript,29,1,349.0,3.0
208,25,hiromaily/go-crypto-wallet,Go,125,35,1563.0,2.0
209,25,norahe0304-art/30x-seo,Python,11,5,25.0,1.0
210,25,vchelaru/Gum,C#,434,68,5285.0,43.0
211,25,victoriacity/openakari,TypeScript,33,4,2.0,1.0
212,25,wilddogjp/openbpx,Go,60,5,33.0,2.0
213,24,Alenryuichi/openmemory-plus,TypeScript,17,1,70.0,1.0
214,24,VioletCranberry/coco-search,Python,18,3,1024.0,3.0
215,24,WayfinderFoundation/wayfinder-paths-sdk,Python,14,4,103.0,8.0
216,24,ZimoLiao/scholaraio,Python,144,17,132.0,2.0
217,24,espennilsen/pi,TypeScript,25,0,181.0,1.0
218,24,hannesill/m4,Python,23,10,378.0,11.0
219,24,hexianWeb/Third-Person-MC,JavaScript,45,9,289.0,4.0
220,24,kazukinagata/shinkoku,Python,308,29,157.0,2.0
221,24,sswym/oh-my-iflow,TypeScript,51,4,28.0,2.0
222,24,thinking-machines-lab/tinker-cookbook,Python,2939,349,274.0,55.0
223,24,wasintoh/toh-framework,JavaScript,75,17,20.0,1.0
224,23,AgentWorkforce/relay,TypeScript,583,44,2700.0,8.0
225,23,Clyra-AI/gait,Go,11,3,268.0,3.0
226,23,ModelEngine-Group/fit-framework,Java,2105,330,774.0,31.0
227,23,TheOrcDev/8bitcn-ui,TypeScript,1725,105,545.0,37.0
228,23,blueraai/bluera-knowledge,TypeScript,11,3,904.0,2.0
229,23,dagster-io/erk,Python,74,7,4089.0,4.0
230,23,ginlix-ai/LangAlpha,Python,52,7,699.0,7.0
231,23,hoangsonww/PetSwipe-Match-App,TypeScript,18,11,179.0,2.0
232,23,j5ik2o/oni-comb-rs,Rust,42,0,4288.0,5.0
233,23,jpmorgan-payments/embedded-finance,TypeScript,18,6,4455.0,16.0
234,23,lvndry/jazz,TypeScript,44,7,336.0,4.0
235,23,radioactive-labs/plutonium-core,JavaScript,57,7,890.0,3.0
236,22,Ed1s0nZ/CyberStrikeAI,Go,2831,461,587.0,2.0
237,22,STUkh/sparq-assistant,JavaScript,17,3,4.0,1.0
238,22,civitai/civitai,TypeScript,7032,709,19745.0,30.0
239,22,cloudposse/atmos,Go,1267,147,1124.0,65.0
240,22,cnoe-io/ai-platform-engineering,Python,324,47,3223.0,29.0
241,22,eat-pray-ai/yutu,Go,402,41,577.0,5.0
242,22,kurtosis-tech/kurtosis,Go,528,91,1819.0,42.0
243,22,mehdic/bazinga,Python,19,0,566.0,3.0
244,22,microlinkhq/www,JavaScript,131,31,4698.0,31.0
245,22,okwinds/miscellany,Python,39,2,50.0,3.0
246,22,pockebot/openpocket,TypeScript,306,3,552.0,12.0
247,22,srbhr/Resume-Matcher,TypeScript,26305,4742,1055.0,73.0
248,22,thc1006/nephoran-intent-operator,Go,16,3,1013.0,5.0
249,22,timdeschryver/Sandbox,C#,55,17,309.0,5.0
250,22,vobase/vobase,TypeScript,25,3,285.0,3.0
251,22,yi-john-huang/sdd-mcp,TypeScript,35,4,172.0,3.0
252,22,zerx-lab/rmx,Rust,36,0,59.0,2.0
253,21,AuroraWebSoftware/AAuth,PHP,41,7,333.0,17.0
254,21,Cratis/Chronicle,C#,38,8,15832.0,16.0
255,21,atopile/atopile,Python,3104,171,2843.0,41.0
256,21,cardstack/boxel,TypeScript,21,12,14447.0,24.0
257,21,datagrok-ai/public,TypeScript,67,28,29094.0,120.0
258,21,elbwalker/walkerOS,TypeScript,327,17,3490.0,12.0
259,21,liza-mas/liza,Go,76,18,567.0,3.0
260,21,loonghao/vx,Rust,19,2,1188.0,5.0
261,21,moshesham/Data-Science-Analytical-Handbook,Python,46,13,242.0,2.0
262,21,open-mercato/open-mercato,TypeScript,1084,179,1823.0,68.0
263,21,runtime-env/runtime-env,TypeScript,43,2,590.0,6.0
264,21,telagod/code-abyss,JavaScript,104,10,91.0,2.0
265,21,vercel-labs/json-render,TypeScript,12538,669,177.0,14.0
266,21,zhinjs/zhin,TypeScript,126,15,1479.0,16.0
267,20,Creatiwity/siren,Rust,20,1,427.0,5.0
268,20,Gentleman-Programming/engram,Go,1343,129,114.0,8.0
269,20,JinFanZheng/kode-sdk-csharp,C#,56,18,32.0,3.0
270,20,KartikLabhshetwar/screenshot-studio,TypeScript,560,98,391.0,18.0
271,20,LIDR-academy/AI4Devs-LTI-extended,TypeScript,42,65,39.0,1.0
272,20,RaheesAhmed/SajiCode,TypeScript,62,14,76.0,1.0
273,20,RtlZeroMemory/Rezi,TypeScript,546,14,648.0,3.0
274,20,facebook/immersive-web-sdk,TypeScript,522,84,94.0,6.0
275,20,jaxxstorm/sentinel,Go,33,2,31.0,3.0
276,20,jaxxstorm/tscli,Go,63,8,194.0,5.0
277,20,jixoai/openspecui,TypeScript,44,6,241.0,3.0
278,20,netease-youdao/LobsterAI,TypeScript,3938,453,370.0,18.0
279,20,nirholas/pump-fun-sdk,Rust,63,25,3586.0,3.0
280,20,onshinpei/ds-markdown,TypeScript,234,12,435.0,4.0
281,20,osalvador/ReplicaDB,Java,479,111,764.0,14.0
282,20,pilinux/gorest,Go,487,63,811.0,5.0
283,20,quiqr/quiqr-desktop,TypeScript,170,10,2256.0,11.0
284,20,shenjingnan/xiaozhi-client,TypeScript,269,74,968.0,9.0
285,20,tsedio/tsed-cli,TypeScript,43,24,1438.0,33.0
286,19,0xAxiom/AppFactory,TypeScript,127,23,156.0,5.0
287,19,ArcaneOrion/Alice-Single,Python,13,2,75.0,1.0
288,19,BA-CalderonMorales/terminal-jarvis,Rust,122,16,405.0,4.0
289,19,Hmbown/MiniMax-CLI,Rust,10,3,90.0,1.0
290,19,Peiiii/skild,TypeScript,103,7,217.0,3.0
291,19,Salesably/salesably-marketplace,Python,19,4,14.0,1.0
292,19,aalmada/BookStore,C#,15,0,416.0,3.0
293,19,aexol-studio/axolotl,TypeScript,27,2,237.0,10.0
294,19,arch-team/devpace,JavaScript,33,2,337.0,1.0
295,19,bolivian-peru/os-moda,Rust,74,15,109.0,1.0
296,19,gamekit-agent/gamekit-cli,TypeScript,46,4,3.0,2.0
297,19,intertwine/hive-orchestrator,Python,14,2,316.0,6.0
298,19,llama-farm/llamafarm,Python,823,49,830.0,15.0
299,19,microsoft/waza,Go,14,8,606.0,10.0
300,19,natea/ExoMind,TypeScript,14,0,25.0,3.0
301,19,powroom/flins,TypeScript,34,7,153.0,2.0
302,19,satsigner/satsigner,TypeScript,46,23,3992.0,19.0
303,19,vultisig/vultisig-windows,TypeScript,13,15,6232.0,25.0
304,19,waynesutton/markdown-site,TypeScript,588,90,158.0,1.0
305,19,xiaobei930/cc-best,JavaScript,34,2,150.0,1.0
306,18,Agents2AgentsAI/ata,Rust,67,3,4843.0,374.0
307,18,ComposioHQ/composio,TypeScript,27376,4483,3310.0,42.0
308,18,SCStelz/security-investigator,Python,52,19,113.0,3.0
309,18,The-Vibe-Company/companion,TypeScript,2192,275,434.0,16.0
310,18,Yangchengshuai/Aerotri-Web,JavaScript,15,5,91.0,3.0
311,18,akiojin/unity-cli,C#,21,1,250.0,4.0
312,18,andfanilo/streamlit-echarts,Python,596,72,128.0,9.0
313,18,bradygaster/squad,TypeScript,813,110,1103.0,19.0
314,18,daloopa/investing,Python,353,81,25.0,3.0
315,18,dotnet/efcore,C#,14603,3363,17779.0,439.0
316,18,gqy20/IssueLab,Python,10,6,438.0,7.0
317,18,kapishdima/fonttrio,TypeScript,288,7,29.0,2.0
318,18,karaage0703/ai-assistant-workspace,Python,12,2,8.0,1.0
319,18,krafton-ai/KIRA,Python,712,97,121.0,9.0
320,18,lofcz/LLMTornado,C#,573,95,1743.0,24.0
321,18,mercurjs/mercur,TypeScript,1423,321,682.0,26.0
322,18,nclamvn/bom-cham,TypeScript,24,13,26.0,1.0
323,18,nrwl/nx-console,TypeScript,1395,239,2031.0,85.0
324,18,opensesh/OS_design-directory,TypeScript,10,2,549.0,1.0
325,18,openyida/openyida,JavaScript,99,10,95.0,6.0
326,18,ramo4040/olyx-ui,TypeScript,15,1,264.0,3.0
327,18,remorses/kimaki,TypeScript,607,35,1429.0,7.0
328,18,rvdbreemen/OTGW-firmware,C++,176,39,2407.0,20.0
329,18,saffron-health/opencode-gui,TypeScript,22,9,138.0,1.0
330,18,stencila/stencila,Rust,872,56,20165.0,52.0
331,18,tilework-tech/nori-cli,Rust,111,4,2390.0,239.0
332,18,tutur3u/platform,TypeScript,48,25,14626.0,30.0
333,18,vasilievyakov/miracle-infrastructure,Python,13,1,73.0,2.0
334,17,BulloRosso/etienne,TypeScript,16,2,409.0,2.0
335,17,NASA-AMMOS/slim,JavaScript,31,14,845.0,12.0
336,17,Soju06/codex-lb,Python,190,43,261.0,21.0
337,17,UnicomAI/wanwu,Go,3959,79,3767.0,53.0
338,17,adamfilli/happy-simulator,Python,11,0,364.0,2.0
339,17,ahaodev/heji,TypeScript,55,15,1550.0,3.0
340,17,badlogic/pi-mono,TypeScript,23778,2508,3227.0,150.0
341,17,bytedance/deer-flow,Python,30569,3694,1608.0,124.0
342,17,canonical/copilot-collections,Python,16,9,56.0,10.0
343,17,decentraland/unity-explorer,JavaScript,18,14,3028.0,38.0
344,17,forcedotcom/salesforcedx-vscode,TypeScript,994,435,5013.0,143.0
345,17,garrytan/gstack,TypeScript,10544,1255,48.0,2.0
346,17,getsentry/junior,TypeScript,34,3,303.0,3.0
347,17,hirotaka/pragmatic-nuxt,TypeScript,159,14,725.0,4.0
348,17,jongwony/epistemic-protocols,JavaScript,68,7,507.0,2.0
349,17,jordanhubbard/loom,Go,95,11,1159.0,5.0
350,17,liyecom/liye-ai,JavaScript,33,4,197.0,2.0
351,17,marcus/sidecar,Go,839,63,1221.0,15.0
352,17,mikeyobrien/ralph-orchestrator,Rust,2181,217,438.0,23.0
353,17,nanorepublica/django-deadcode,Python,43,1,114.0,3.0
354,17,nanorepublica/django-prodserver,Python,52,3,62.0,4.0
355,17,nrwl/nx,TypeScript,28331,2688,17069.0,1220.0
356,17,opendatahub-io/ai-helpers,Python,18,30,180.0,16.0
357,17,optave/codegraph,JavaScript,27,2,642.0,3.0
358,17,tercumantanumut/selene,TypeScript,146,28,1032.0,2.0
359,17,udayvunnam/xng-breadcrumb,TypeScript,246,66,317.0,17.0
360,17,undsky/RuoYi-SpringBoot3-Pro,Java,133,49,66.0,1.0
361,16,AztecProtocol/aztec-packages,C++,430,598,21880.0,149.0
362,16,LdotJdot/OpenLum,JavaScript,26,5,8.0,1.0
363,16,MoomFE/mixte,TypeScript,18,2,1180.0,3.0
364,16,Mulily0513/Omni,Python,15,1,2.0,1.0
365,16,Shadylukin/Neumann,Rust,73,6,576.0,3.0
366,16,Tai-ch0802/arc-like-chrome-extension,JavaScript,35,2,420.0,4.0
367,16,Xerus-ai/openwork,TypeScript,31,1,41.0,4.0
368,16,aiyuekuang/LLMProxy,Go,11,2,27.0,1.0
369,16,daangn/seed-design,TypeScript,841,49,3069.0,25.0
370,16,hoangsonww/AI-Gov-Content-Curator,TypeScript,24,11,426.0,3.0
371,16,hyperlane-xyz/hyperlane-monorepo,TypeScript,52,556,5197.0,111.0
372,16,iOfficeAI/AionUi,TypeScript,18771,1469,2966.0,57.0
373,16,indexedlabs/pydantic-ai-gepa,Python,25,5,233.0,2.0
374,16,initializ/forge,Go,10,1,104.0,2.0
375,16,kilolonion/excelmanus,Python,25,0,186.0,3.0
376,16,ntk148v/clicklens,TypeScript,26,5,379.0,1.0
377,16,open-agreements/open-agreements,TypeScript,11,1,274.0,1.0
378,16,reactive/data-client,TypeScript,2026,98,5000.0,38.0
379,16,sibyllinesoft/smith-core,Rust,10,1,44.0,2.0
380,16,useautumn/autumn,TypeScript,2402,196,4964.0,41.0
381,16,verekia/r3f-gamedev,TypeScript,26,0,49.0,1.0
382,16,yamcodes/arkenv,TypeScript,117,5,1203.0,11.0
383,16,zard-ui/zardui,TypeScript,919,80,357.0,29.0
384,15,0xranx/golembot,TypeScript,132,16,301.0,6.0
385,15,Blazemeter/bzm-mcp,Python,24,4,190.0,7.0
386,15,Project-N-E-K-O/N.E.K.O,Python,781,103,802.0,29.0
387,15,adobe/helix-website,JavaScript,39,56,4564.0,53.0
388,15,atilladeniz/Kubeli,TypeScript,311,26,341.0,4.0
389,15,barretstorck/gemini-superpowers,TypeScript,28,3,5.0,1.0
390,15,bitfocus/companion-module-zoom-osc-iso,TypeScript,11,18,684.0,6.0
391,15,bnomei/kirby-mcp,PHP,37,1,40.0,2.0
392,15,coollabsio/coolify,PHP,51708,3809,14858.0,628.0
393,15,fabriqaai/specs.md,TypeScript,76,7,708.0,5.0
394,15,heidsoft/itsm,TypeScript,14,2,278.0,1.0
395,15,kaptinlin/gozod,Go,18,1,113.0,2.0
396,15,miroapp/miro-ai,TypeScript,72,7,52.0,6.0
397,15,olasunkanmi-SE/codebuddy,TypeScript,110,33,836.0,11.0
398,15,redis-developer/redisctl,Rust,11,0,771.0,2.0
399,15,ruska-ai/orchestra,TypeScript,10,1,1086.0,3.0
400,15,vicanso/zedis,Rust,1726,39,346.0,1.0
401,14,0MeMo07/Quran-Web-Application,TypeScript,11,3,43.0,1.0
402,14,ArvorCo/Relentless,TypeScript,86,5,243.0,3.0
403,14,Automattic/wordpress-activitypub,PHP,565,85,2765.0,52.0
404,14,DwainTR/superpowers-copilot,JavaScript,10,0,2.0,1.0
405,14,Opentrons/opentrons,Python,494,194,17989.0,110.0
406,14,OthmanAdi/planning-with-files,Python,16064,1476,155.0,22.0
407,14,Q00/ouroboros,Python,1284,120,221.0,13.0
408,14,ThinkInAIXYZ/deepchat,TypeScript,5583,641,2686.0,61.0
409,14,abdullah1854/MCPGateway,TypeScript,12,2,55.0,2.0
410,14,automagik-dev/genie,TypeScript,256,35,2103.0,17.0
411,14,aymericzip/intlayer,TypeScript,627,106,5209.0,45.0
